timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop
9725, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9745, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9785, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9845, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9945, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
9985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10045, 107441.234375, 140209.9375, 89559.015625, 105615.8515625, 135590.484375, 89340.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10065, 107565.359375, 140264.6875, 89620.5, 105716.6015625, 135706.53125, 89412.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10085, 107650.671875, 140310.78125, 89689.8046875, 105804.8203125, 135810.734375, 89467.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10105, 107746.6171875, 140356.375, 89773.5703125, 105888.125, 135888.71875, 89513.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10125, 107816.5078125, 140412.1875, 89823.8515625, 105951.8828125, 135973.03125, 89551.890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10145, 107870.1796875, 140445.0625, 89883.1171875, 106001.625, 136022.53125, 89598.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10165, 107930.8828125, 140484.828125, 89924.078125, 106050.6875, 136079.03125, 89637.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10185, 107975.4375, 140503.1875, 89969.3359375, 106079.4375, 136121.203125, 89665.4453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10205, 108024.1640625, 140534.796875, 90009.1484375, 106122.890625, 136159.359375, 89689.9453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10225, 108061.6328125, 140573.53125, 90036.859375, 106141.125, 136170.203125, 89698.8984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10246, 108099.109375, 140590.640625, 90073.171875, 106168.484375, 136210.109375, 89731.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10266, 108140.84375, 140612.046875, 90098.953125, 106202.140625, 136245.984375, 89753.328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10285, 108174.078125, 140643.671875, 90135.2734375, 106220.3828125, 136279.59375, 89780.6171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10305, 108209.453125, 140656.9375, 90150.125, 106254.046875, 136305.859375, 89798.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10325, 108228.5, 140677.09375, 90172.78125, 106267.390625, 136332.640625, 89816.8125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10345, 108260.359375, 140705.15625, 90188.4140625, 106294.75, 136344.015625, 89829.6640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10365, 108268.8515625, 140719.171875, 90202.484375, 106315.1015625, 136369.765625, 89855.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10385, 108290.09375, 140733.46875, 90215.3828125, 106327.0546875, 136385.6875, 89870.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10405, 108317.6484375, 140748.5, 90231.015625, 106343.8828125, 136403.375, 89887.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10425, 108333.25, 140766.875, 90243.921875, 106356.5234375, 136420.359375, 89897.4140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
