timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, std, mean, laserFront
13089, 0.000331853429088369, -0.0019905033987015486, 0.00018376577645540237, 0.004294783808290958, -0.005479832645505667, -0.0010715918615460396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13109, 8.602456364315003e-05, -0.0019821003079414368, 0.00017229016521014273, 0.0032528911251574755, -0.005220961291342974, -0.0008970127673819661, 115351.7578125, 151910.203125, 90424.6171875, 115152.3359375, 138395.875, 99265.859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12794098258018494, 0, 0, 0.0
13129, 0.0014158020494505763, -0.00018044472381006926, 9.861940634436905e-05, 0.010922351852059364, 0.004822116810828447, -0.0013078934280201793, 115364.78125, 151914.390625, 90419.5625, 115148.8046875, 138392.5625, 99266.6171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12779805064201355, 0, 0, 0.0
13149, 0.0004890019772574306, -0.0019825734198093414, 0.0001231826317962259, 0.005776615347713232, -0.004975094459950924, -0.001047711237333715, 115361.1640625, 151914.8125, 90416.4609375, 115154.5, 138404.953125, 99262.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12630595266819, 0, 0, 0.0
13169, 0.0006705261766910553, -0.0011275990400463343, 0.0005084114382043481, 0.006413714494556189, -0.0005467539886012673, 0.0013553164899349213, 115361.1640625, 151907.890625, 90425.4140625, 115157.453125, 138398.140625, 99260.5078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12797333300113678, 0, 0, 0.0
13189, 0.00022524046653416008, -0.0011199451982975006, 0.0005466430447995663, 0.003902631811797619, -0.00023678741126786917, 0.0016017765738070011, 115366.9453125, 151908.328125, 90425.4140625, 115158.140625, 138395.34375, 99269.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1250649392604828, 0, 0, 0.0
13209, -0.00021525945339817554, -0.0019975637551397085, 0.0007589134620502591, 0.0014375655446201563, -0.004922698251903057, 0.002665866632014513, 115366.9453125, 151912.078125, 90425.765625, 115157.453125, 138386.796875, 99264.578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12468947470188141, 0, 0, 0.0
13229, -0.0001824483770178631, -0.002099298872053623, 0.0008141625439748168, 0.0018590866820886731, -0.005138731095939875, 0.0028133231680840254, 115365.4921875, 151916.265625, 90418.40625, 115153.8125, 138399.375, 99267.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12393838167190552, 0, 0, 0.0
13249, 5.7521345297573134e-05, -0.0018622048664838076, 0.0005698444438166916, 0.0031718057580292225, -0.0037933962885290384, 0.0014380409847944975, 115363.328125, 151910.203125, 90421.515625, 115158.9296875, 138399.375, 99276.796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12446057051420212, 0, 0, 0.0
13269, 0.0005019594100303948, -0.001178127364255488, 0.0006061165477149189, 0.00581809738650918, 0.0004976840573363006, 0.001369296107441187, 115371.28125, 151919.0, 90426.5625, 115159.6171875, 138397.625, 99269.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11941719055175781, 0, 0, 0.0
13289, -0.0004261787689756602, -0.0021043415181338787, 0.0006360383122228086, 0.000667682325001806, -0.0042679691687226295, 0.001390343182720244, 115371.28125, 151914.390625, 90431.2578125, 115161.78125, 138403.390625, 99268.6484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12734496593475342, 0, 0, 0.0
13309, -0.0006836691754870117, -0.0021255991887301207, 0.0008623634930700064, -0.0008350399439223111, -0.0035666453186422586, 0.002644733991473913, 115368.3984375, 151916.6875, 90417.96875, 115159.5078125, 138397.09375, 99269.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12738904356956482, 0, 0, 0.0
13329, -3.9002396079013124e-05, -0.002098808763548732, 0.0009222799562849104, 0.0022847463842481375, -0.002981788944453001, 0.002637922763824463, 115369.828125, 151910.203125, 90421.515625, 115162.4609375, 138392.5625, 99274.7578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1311211735010147, 0, 0, 0.0
13349, -3.421909786993638e-05, -0.0020907989237457514, 0.0006001713918522, 0.0024721105583012104, -0.002524395938962698, 0.0009683608659543097, 115372.703125, 151921.3125, 90425.4140625, 115163.9375, 138398.84375, 99269.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12819771468639374, 0, 0, 0.0
13369, 0.0012579549802467227, -0.00101040571462363, 0.0006268662982620299, 0.009281681850552559, 0.0033872986678034067, 0.0012051616795361042, 115362.6171875, 151919.0, 90426.5625, 115162.4609375, 138403.390625, 99280.1171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12734714150428772, 0, 0, 0.0
13389, 0.00018192396964877844, -0.0012336685322225094, 0.00039829450543038547, 0.002941534388810396, 0.0020394488237798214, 0.00015401105338241905, 115369.109375, 151914.390625, 90423.4609375, 115158.8203125, 138395.875, 99270.6875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12633082270622253, 0, 0, 0.0
13409, -0.00025183113757520914, -0.0018799876561388373, 0.000406876701163128, 0.0006145545048639178, -0.0015731450403109193, 0.00031716458033770323, 115373.4453125, 151921.3125, 90426.5625, 115158.8203125, 138402.6875, 99272.7265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12266591936349869, 0, 0, 0.0
13429, 0.001230988884344697, -0.001033129869028926, 0.0002568264026194811, 0.008758949115872383, 0.003073746571317315, -0.00057360774371773, 115365.4921875, 151919.0, 90432.7734375, 115163.9375, 138394.828125, 99280.8671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12303240597248077, 0, 0, 0.0
13449, 0.00021242882939986885, -0.00211243680678308, 0.00026004263781942427, 0.0026395174209028482, -0.0023388881236314774, -0.0004957701894454658, 115369.828125, 151919.0, 90422.6640625, 115164.625, 138395.34375, 99280.1171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12403353303670883, 0, 0, 0.0
13469, 0.0013075486058369279, -0.0010087890550494194, 0.00015864351007621735, 0.008199154399335384, 0.0041287788189947605, -0.00041504797991365194, 115383.5625, 151914.390625, 90422.6640625, 115166.1015625, 138403.90625, 99277.3203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12491588294506073, 0, 0, 0.0
13489, 0.0008680357132107019, -0.00034905466600321233, 0.00019831133249681443, 0.005577630829066038, 0.007470904383808374, 0.00014063871640246361, 115378.484375, 151923.625, 90427.359375, 115166.7890625, 138399.890625, 99276.796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12422569841146469, 0, 0, 0.0
13509, 0.0012871811632066965, -0.0010040061315521598, 0.0002378544450039044, 0.008051769807934761, 0.003933689557015896, 0.00029654568061232567, 115374.8671875, 151919.0, 90429.3125, 115173.2734375, 138402.15625, 99280.8671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12600748240947723, 0, 0, 0.0
13529, -0.00041349878301844, -0.0020822358783334494, 0.00015245111717376858, -0.0014320022892206907, -0.0020877807401120663, -0.00026336958399042487, 115374.15625, 151912.515625, 90431.6171875, 115171.90625, 138402.6875, 99284.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12422137707471848, 0, 0, 0.0
13549, 0.00022589605941902846, -0.0020892838947474957, 0.00015188363613560796, 0.0020523967687040567, -0.001892618602141738, -0.0002618593571241945, 115379.9453125, 151920.875, 90425.4140625, 115167.578125, 138392.5625, 99284.9453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1242632269859314, 0, 0, 0.0
13569, -0.0001826699881348759, -0.0016784644685685635, 9.480753942625597e-05, -0.000741381838452071, 0.0001842256897361949, -0.0009578238241374493, 115371.28125, 151923.625, 90429.3125, 115176.9140625, 138397.625, 99282.90625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12506799399852753, 0, 0, 0.0
13589, 0.0006339364917948842, -0.0008557296241633594, 9.02808242244646e-05, 0.0030457423999905586, 0.004388201981782913, -0.0009961811592802405, 115374.8671875, 151919.0, 90429.3125, 115170.4296875, 138399.890625, 99284.9453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12598106265068054, 0, 0, 0.0
13609, 0.0008251568069681525, -0.001463585183955729, 0.0008925616857595742, 0.004309110809117556, 0.0010427511297166348, 0.0034995577298104763, 115374.15625, 151927.8125, 90427.359375, 115171.90625, 138393.078125, 99289.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12591958045959473, 0, 0, 0.0
13629, 0.0012389759067445993, -0.00104673788882792, 0.0009890245273709297, 0.006514023058116436, 0.003767474088817835, 0.0038343705236911774, 115379.9453125, 151921.3125, 90433.2109375, 115170.4296875, 138402.6875, 99292.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12548516690731049, 0, 0, 0.0
13649, 0.0002221872127847746, -0.0008422303944826126, 0.0006594392471015453, 0.00027408351888880134, 0.0044538057409226894, 0.0019390266388654709, 115383.5625, 151927.375, 90426.5625, 115176.9140625, 138401.109375, 99287.734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1282096952199936, 0, 0, 0.0
13669, -0.0003911686653736979, -0.0018721347441896796, 0.0007032913854345679, -0.002871692180633545, -0.0013032256392762065, 0.001983067486435175, 115374.8984375, 151921.3125, 90426.5625, 115174.75, 138404.4375, 99297.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1251974105834961, 0, 0, 0.0
13689, 0.0012428034096956253, -0.000842625624500215, 0.0008615931728854775, 0.006477955728769302, 0.0041414787992835045, 0.0026062936522066593, 115377.03125, 151916.6875, 90437.46875, 115175.4375, 138399.375, 99287.734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12689383327960968, 0, 0, 0.0
13709, -0.0005900408141314983, -0.0020806503016501665, 0.0009300069068558514, -0.003346135374158621, -0.0027109987568110228, 0.0028842315077781677, 115378.484375, 151923.625, 90432.4140625, 115181.921875, 138402.15625, 99295.8828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1263299435377121, 0, 0, 0.0
13729, 0.0004386823275126517, -0.0012699877843260765, 0.001055280794389546, 0.0021406689193099737, 0.0015583805507048965, 0.0032356129959225655, 115388.609375, 151927.8125, 90430.90625, 115177.59375, 138396.390625, 99293.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1291404515504837, 0, 0, 0.0
13749, 3.095533247687854e-05, -0.001259498530998826, 0.0006621219217777252, 3.972832200815901e-05, 0.001408394775353372, 0.001096458756364882, 115382.8203125, 151932.421875, 90434.3671875, 115179.7578125, 138405.65625, 99299.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1291826218366623, 0, 0, 0.0
13769, 0.000245914445258677, -0.0018997011939063668, 0.0006890811491757631, 0.0015481864102184772, -0.0021930146031081676, 0.0008767813560552895, 115388.609375, 151930.546875, 90431.2578125, 115181.234375, 138401.453125, 99301.7578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12644149363040924, 0, 0, 0.0
13789, 0.00046351226046681404, -0.0019064350053668022, 0.0004362714826129377, 0.0024775913916528225, -0.0024068497586995363, -0.0006968440138734877, 115384.2734375, 151925.5, 90434.0078125, 115188.515625, 138396.390625, 99302.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12391646206378937, 0, 0, 0.0
13809, 0.0008722648490220308, -0.0004338604921940714, 0.00044184864964336157, 0.0050863963551819324, 0.005904695484787226, -0.0006216648616828024, 115386.4375, 151933.28125, 90427.359375, 115185.5625, 138395.875, 99301.9921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12195407599210739, 0, 0, 0.0
13829, -0.00040952046401798725, -0.0021395354997366667, 0.000680699828080833, -0.0018814076902344823, -0.003947265446186066, 0.0005110393394716084, 115388.609375, 151924.484375, 90430.4609375, 115178.28125, 138408.453125, 99299.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12281288951635361, 0, 0, 0.0
13849, 0.00021863153961021453, -0.0019253452774137259, 0.000708967272657901, 0.0018883423181250691, -0.0025034428108483553, 0.0008501071715727448, 115390.7734375, 151925.921875, 90431.2578125, 115184.0859375, 138397.625, 99297.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12398715317249298, 0, 0, 0.0
13869, 2.6757286832435057e-05, -0.002134164562448859, 0.00043553701834753156, 0.0009635832975618541, -0.0036774100735783577, -0.0008284611976705492, 115392.9375, 151925.921875, 90429.3125, 115183.3984375, 138406.1875, 99299.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12397530674934387, 0, 0, 0.0
13889, -0.00015713820175733417, -0.002117827767506242, 0.0004552460741251707, -8.476357470499352e-05, -0.003686818527057767, -0.0008204844780266285, 115392.2265625, 151931.984375, 90432.4140625, 115176.9140625, 138404.4375, 99299.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12761257588863373, 0, 0, 0.0
13909, 0.00047563613043166697, -0.0019096374744549394, 0.0002824472321663052, 0.0035366970114409924, -0.0025998009368777275, -0.0015948651125654578, 115395.1015625, 151923.625, 90434.3671875, 115179.7578125, 138405.65625, 99299.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1285882294178009, 0, 0, 0.0
13929, -0.00035148972528986633, -0.0021268290001899004, 0.00025029099197126925, -0.0004802359326276928, -0.0033125663176178932, -0.0015328797744587064, 115399.4375, 151923.625, 90433.2109375, 115183.3984375, 138398.140625, 99306.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12832240760326385, 0, 0, 0.0
13949, -0.0003486686618998647, -0.0021324707195162773, 0.00023582755238749087, -0.0008119854028336704, -0.0034225285053253174, -0.001787254004739225, 115390.0625, 151930.109375, 90431.6171875, 115184.0859375, 138406.1875, 99301.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12691979110240936, 0, 0, 0.0
13969, 0.00024368910817429423, -0.0015313850017264485, 0.0005432736361399293, 0.0028075312729924917, 7.252725481521338e-05, 3.314209607196972e-05, 115397.265625, 151927.8125, 90432.4140625, 115189.8828125, 138403.90625, 99300.484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12834878265857697, 0, 0, 0.0
13989, 0.0006475941045209765, -0.0011223922483623028, 0.0005607060738839209, 0.00475664809346199, 0.002006606198847294, 0.00033093945239670575, 115389.3203125, 151936.171875, 90432.4140625, 115189.8828125, 138402.15625, 99301.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12853513658046722, 0, 0, 0.0
14009, 0.00028561559156514704, -0.002157970331609249, 0.0003288147854618728, 0.0022789370268583298, -0.0035400029737502337, -0.0006755198701284826, 115403.0546875, 151930.546875, 90440.2109375, 115189.8828125, 138399.375, 99301.9921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1300094723701477, 0, 0, 0.0
14029, 0.0007115381886251271, -0.0012981485342606902, 0.0003431602381169796, 0.004335109144449234, 0.0014471185859292746, -0.00014461041428148746, 115399.4375, 151926.359375, 90430.109375, 115194.2109375, 138398.140625, 99299.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13154274225234985, 0, 0, 0.0
14049, 6.0447371652117e-05, -0.001949849771335721, 0.0006131670670583844, 0.0008401177474297583, -0.002217465778812766, 0.0011638847645372152, 115400.890625, 151921.75, 90432.0546875, 115192.046875, 138401.640625, 99301.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13053125143051147, 0, 0, 0.0
14069, -0.000576103338971734, -0.0021541090682148933, 0.0006383086438290775, -0.0024905363097786903, -0.002944136504083872, 0.0011587265180423856, 115398.6953125, 151928.234375, 90427.359375, 115188.40625, 138402.15625, 99297.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13232992589473724, 0, 0, 0.0
14089, 0.0002905337023548782, -0.002156190574169159, 0.00042636424768716097, 0.0021585177164524794, -0.002689130138605833, -0.00042243406642228365, 115403.765625, 151928.671875, 90431.2578125, 115190.5703125, 138401.640625, 99306.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12978528439998627, 0, 0, 0.0
14109, 0.0004969468573108315, -0.0012990321265533566, 0.00042087529436685145, 0.0039376867935061455, 0.0018613245338201523, -0.0007912039291113615, 115405.21875, 151930.546875, 90433.5703125, 115200.6953125, 138406.703125, 99306.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12896521389484406, 0, 0, 0.0
14129, -0.00012182304635643959, -0.001933321007527411, 0.00024425459560006857, 0.0007670839549973607, -0.00148679967969656, -0.0016109925927594304, 115402.3125, 151926.359375, 90435.1640625, 115196.375, 138402.15625, 99304.78125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12785719335079193, 0, 0, 0.0
14149, -0.0001184360371553339, -0.002147879684343934, 0.0002459792303852737, 0.0007214321522042155, -0.0032093264162540436, -0.0013614707859233022, 115404.4765625, 151928.234375, 90428.515625, 115200.015625, 138408.453125, 99306.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12741056084632874, 0, 0, 0.0
14169, -0.0005610021762549877, -0.0021860958077013493, 0.0002203724579885602, -0.0014373563462868333, -0.00273203500546515, -0.0011778054758906364, 115400.1484375, 151926.796875, 90435.515625, 115190.5703125, 138402.15625, 99304.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12786751985549927, 0, 0, 0.0
14189, -0.0005839701043441892, -0.0022460082545876503, 9.968290396500379e-05, -0.0011998808477073908, -0.00315842661075294, -0.0018565831705927849, 115401.6015625, 151930.546875, 90428.515625, 115200.015625, 138398.140625, 99311.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12731832265853882, 0, 0, 0.0
14209, 0.0017679070588201284, -0.0009619108168408275, 8.958630496636033e-05, 0.012150862254202366, 0.004226869437843561, -0.001753389835357666, 115401.6015625, 151932.859375, 90437.109375, 115200.6953125, 138398.671875, 99308.625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1269078105688095, 0, 0, 0.0
