timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront
18004, 0.0786556676030159, -0.10287289321422577, 0.31783628463745117, -0.03865121677517891, -0.0087089529260993, 0.026675257831811905, 124785.3671875, 155704.0, 88104.78125, 127972.5078125, 141570.78125, 105228.4453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5882053971290588, 0.0
18024, 0.07883565127849579, -0.10420746356248856, 0.31837213039398193, -0.036772891879081726, -0.009397479705512524, 0.026696031913161278, 124794.2109375, 155705.890625, 88097.9296875, 127984.6171875, 141565.734375, 105230.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.578227162361145, 0.0
18044, 0.07874675840139389, -0.10508047789335251, 0.31957489252090454, -0.03544000908732414, -0.009203804656863213, 0.029210757464170456, 124795.75, 155705.890625, 88098.21875, 127979.1796875, 141569.015625, 105233.9453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5560014843940735, 0.0
18064, 0.0794607624411583, -0.10831647366285324, 0.32015639543533325, -0.032358989119529724, -0.013643239624798298, 0.028351495042443275, 124783.828125, 155705.890625, 88093.28125, 127974.734375, 141566.75, 105231.8671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5188974142074585, 0.0
18084, 0.07942914217710495, -0.11052082479000092, 0.32011088728904724, -0.030737878754734993, -0.015961673110723495, 0.02396831288933754, 124788.25, 155705.890625, 88099.03125, 127988.078125, 141566.234375, 105229.78125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.5101234912872314, 0.0
18104, 0.0799185186624527, -0.11004314571619034, 0.3205757737159729, -0.028041915968060493, -0.012929689139127731, 0.021975846961140633, 124791.3359375, 155709.6875, 88091.3671875, 127989.6796875, 141568.515625, 105232.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.48987942934036255, 0.0
18124, 0.08014041185379028, -0.11200309544801712, 0.3210757374763489, -0.025834117084741592, -0.014584258198738098, 0.02023516409099102, 124786.0390625, 155705.890625, 88090.265625, 127994.125, 141563.46875, 105233.9453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.4716368615627289, 0.0
18144, 0.07995731383562088, -0.11451812088489532, 0.3214583992958069, -0.024682888761162758, -0.017398277297616005, 0.018186470493674278, 124780.953125, 155707.796875, 88090.265625, 127989.6796875, 141555.40625, 105229.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.4509795010089874, 0.0
18164, 0.0809563547372818, -0.1138894110918045, 0.32195255160331726, -0.02144050784409046, -0.013938870280981064, 0.01782173663377762, 124780.953125, 155707.796875, 88097.1171875, 127983.015625, 141559.4375, 105232.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.43656817078590393, 0.0
18184, 0.08057645708322525, -0.11633291840553284, 0.3223135769367218, -0.021072594448924065, -0.016081569716334343, 0.016535134986042976, 124795.75, 155705.890625, 88100.9453125, 127984.6171875, 141563.96875, 105240.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.4146549701690674, 0.0
18204, 0.08015292137861252, -0.11663377285003662, 0.32277411222457886, -0.021088015288114548, -0.01431591622531414, 0.015284382738173008, 124785.3671875, 155705.890625, 88095.203125, 127980.7890625, 141557.671875, 105236.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.40533873438835144, 0.0
18224, 0.08096273243427277, -0.1192857176065445, 0.3230566382408142, -0.018939074128866196, -0.01714452914893627, 0.012354576960206032, 124789.125, 155705.890625, 88099.03125, 127987.4609375, 141561.1875, 105237.5234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.37888503074645996, 0.0
18244, 0.08083203434944153, -0.12057092785835266, 0.32328715920448303, -0.018917826935648918, -0.01706688106060028, 0.01061259489506483, 124790.4609375, 155704.0, 88099.03125, 127985.234375, 141563.96875, 105240.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.3769427537918091, 0.0
18264, 0.08132103830575943, -0.12302965670824051, 0.3242199718952179, -0.017923178151249886, -0.01919034868478775, 0.01289219781756401, 124783.1640625, 155707.796875, 88093.8125, 127986.46875, 141557.671875, 105236.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.38494765758514404, 0.0
18284, 0.08066629618406296, -0.12648260593414307, 0.3244709372520447, -0.01936412788927555, -0.023277396336197853, 0.012368335388600826, 124789.7890625, 155709.6875, 88096.3046875, 127985.234375, 141559.9375, 105236.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.4049842953681946, 0.0
18304, 0.08078471571207047, -0.129149928689003, 0.3240918517112732, -0.01952662505209446, -0.025756601244211197, 0.009066227823495865, 124785.3671875, 155707.796875, 88093.28125, 127989.0625, 141562.71875, 105232.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.415714830160141, 0.0
18324, 0.08046574145555496, -0.12994073331356049, 0.3242858350276947, -0.020644042640924454, -0.0243801549077034, 0.010334836319088936, 124786.9140625, 155705.890625, 88100.1328125, 127993.515625, 141551.890625, 105236.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.4214535355567932, 0.0
18344, 0.08006510138511658, -0.13043981790542603, 0.3230605125427246, -0.021870777010917664, -0.022515716031193733, 0.0026829156558960676, 124789.7890625, 155707.796875, 88091.3671875, 127980.171875, 141568.0, 105236.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, -0.4509589374065399, 0.0
