timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, preprocesswhisker1_1, preprocesswhisker1_2, preprocesswhisker1_3, preprocesswhisker2_1, preprocesswhisker2_2, preprocesswhisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
110873, 0.016328442841768265, 0.0076554762199521065, 0.0024435515515506268, 0.006964973174035549, 0.0036974556278437376, -4.40718540630769e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
110893, 0.017018897458910942, 0.006786283105611801, 0.0022488036192953587, 0.010712255723774433, -0.0013425087090581656, -0.0012679845094680786, 116684.984375, 151394.484375, 90408.109375, 114228.109375, 137857.140625, 98142.7578125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.21771474182605743, 2.75226092338562, 0.0
110913, 0.015614671632647514, 0.007634588982909918, 0.002238356973975897, 0.00374581222422421, 0.0033280407078564167, -0.0011008328292518854, 116690.8203125, 151399.96875, 90406.15625, 114225.953125, 137863.953125, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.16847535967826843, 2.7834250926971436, 0.0
110933, 0.016754990443587303, 0.007017807569354773, 0.00169702572748065, 0.00968904234468937, -0.000293686956865713, -0.0035720132291316986, 116684.984375, 151396.796875, 90409.2734375, 114228.109375, 137870.78125, 98137.9453125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.16960535943508148, 2.7853527069091797, 0.0
110953, 0.01674114726483822, 0.007234145421534777, 0.0016367806820198894, 0.009779139421880245, 0.0010612114565446973, -0.003468494862318039, 116686.46875, 151397.234375, 90410.0625, 114225.2734375, 137861.6875, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.16960671544075012, 2.790743112564087, 0.0
110973, 0.01605985313653946, 0.006188757251948118, 0.0013306955806910992, 0.0063385749235749245, -0.00505096884444356, -0.004392607137560844, 116687.1640625, 151401.421875, 90413.1796875, 114227.4296875, 137865.71875, 98141.25, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.1705339550971985, 2.801591634750366, 0.0
110993, 0.016724755987524986, 0.006812711246311665, 0.0012518800795078278, 0.009577213786542416, -0.0010254605440422893, -0.004123884718865156, 116682.8125, 151403.3125, 90411.2265625, 114221.6328125, 137861.15625, 98140.7265625, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.2178082913160324, 2.757873773574829, 0.0
111013, 0.016878044232726097, 0.00678959721699357, 0.0022865477949380875, 0.010126214474439621, -0.0010164320701733232, 0.001423568231984973, 116688.640625, 151403.734375, 90406.15625, 114224.4765625, 137869.03125, 98139.2265625, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.20637935400009155, 2.7589027881622314, 0.0
111033, 0.016136877238750458, 0.0076853507198393345, 0.0023236069828271866, 0.005914411973208189, 0.004203798249363899, 0.0014500704128295183, 116686.46875, 151404.171875, 90401.8828125, 114223.7890625, 137862.921875, 98138.703125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.20632927119731903, 2.7775533199310303, 0.0
111053, 0.016850700601935387, 0.0072485292330384254, 0.0018284358084201813, 0.009193678386509418, 0.00224172486923635, -0.001255159149877727, 116684.2890625, 151399.109375, 90413.1796875, 114221.6328125, 137857.140625, 98137.1953125, 0, 0, 0, 0, 0, 0, 7000.0, 7000.0, 7000.0, 7000.0, 0.18476887047290802, 2.7659239768981934, 0.0
