timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw
8221, 0.0011215939885005355, 0.004179271403700113, -4.172376065980643e-06, 0.0006824153242632747, 0.022482868283987045, -0.0007101192604750395, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8241, 0.0011050221510231495, 0.0040411935187876225, -8.137657459883485e-06, 0.0007845473010092974, 0.021392889320850372, -0.0008111625793389976, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05844222381711006
8261, 0.00111255026422441, 0.004480945412069559, -2.5461909899604507e-05, 0.000618584977928549, 0.023188399150967598, -0.0008768904372118413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0569721981883049
8281, 0.0011263781925663352, 0.004963077139109373, -2.7480176868266426e-05, 0.0008684587082825601, 0.02512587048113346, -0.0010006388183683157, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05813377723097801
8301, 0.0007978659123182297, 0.005086873658001423, -4.480167626752518e-05, -0.0008827697020024061, 0.025075050070881844, -0.0012565390206873417, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05912337452173233
8321, 0.0017384591046720743, 0.004242414608597755, -4.34728353866376e-05, 0.0034532903227955103, 0.020470257848501205, -0.0010139704681932926, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.060537632554769516
8341, 0.0013970292638987303, 0.004709330853074789, -4.702712976722978e-05, 0.001529188361018896, 0.022355392575263977, -0.0011120608542114496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0591149777173996
8361, 0.0014263044577091932, 0.005178212653845549, -7.171125616878271e-05, 0.0013317351695150137, 0.024542000144720078, -0.001268743653781712, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0620766319334507
8381, 0.0010855993023142219, 0.00495564378798008, -5.4688814998371527e-05, -0.0005110744386911392, 0.023160666227340698, -0.0007681599818170071, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06276358664035797
8401, 0.0010749200591817498, 0.005438047461211681, -7.199884566944093e-05, -0.0006869034841656685, 0.025138700380921364, -0.0010450066765770316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06606759876012802
8421, 0.0010913456790149212, 0.005173964891582727, -4.969239671481773e-05, -0.0004097889759577811, 0.02330297790467739, -0.0008017278159968555, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.065955750644207
8441, 0.000759430811740458, 0.0052699139341712, -5.3962230595061556e-05, -0.0020573590882122517, 0.023525312542915344, -0.00017909225425682962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0638929158449173
8461, 0.0007133270846679807, 0.005762632470577955, -3.346933226566762e-05, -0.0023692515678703785, 0.02555909752845764, 0.000209212361369282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06562162935733795
8481, 0.001111573539674282, 0.005847439169883728, -1.96451110241469e-05, 0.0001580453827045858, 0.025308605283498764, 0.0005071519990451634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06549327075481415
8501, 7.402202754747123e-05, 0.005182591732591391, 1.0166722859139554e-05, -0.0042804875411093235, 0.02205297164618969, 0.00030231455457396805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06594137102365494
8521, 0.0011169424979016185, 0.005294838920235634, 2.9744762287009507e-05, 0.0007502849912270904, 0.02219029888510704, 0.0005105746095068753, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06581676006317139
