timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, gpislabel, yaw, laserFront, KFwhisker1, KFwhisker2
7137, 0.002467428334057331, 0.0005762083455920219, 0.012405806221067905, 0.010029885917901993, 0.0018718601204454899, -0.0013062037760391831, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7157, 0.0026740203611552715, 0.0006162963109090924, 0.01238179299980402, 0.010600712150335312, 0.0021257279440760612, -0.0011270183604210615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05588939040899277, 32766.0, 0.0, 0.0
7177, 0.0028910127002745867, 0.000660328078083694, 0.012360437773168087, 0.0111520541831851, 0.0022717462852597237, -0.000943133607506752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.057840000838041306, 32766.0, 0.0, 0.0
7197, 0.00309204775840044, 0.0007012079004198313, 0.013044227845966816, 0.011809878051280975, 0.002176695503294468, 0.0024243127554655075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05585279315710068, 32766.0, 0.0, 0.0
7217, 0.0033373436890542507, 0.0007435537409037352, 0.01309509389102459, 0.012802978977560997, 0.0020150693599134684, 0.0026534837670624256, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.056013163179159164, 32766.0, 0.0, 0.0
7237, 0.003567423904314637, 0.0007809766684658825, 0.013937147334218025, 0.013371882028877735, 0.0021588937379419804, 0.0063040065579116344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05802140757441521, 32766.0, 0.0, 0.0
7257, 0.0038454202003777027, 0.0008268874371424317, 0.014061890542507172, 0.014485704712569714, 0.002367777284234762, 0.006261080969125032, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.056634511798620224, 32766.0, 0.0, 0.0
7277, 0.004196152091026306, 0.0008877906366251409, 0.013347212225198746, 0.015658583492040634, 0.0030802341643720865, 0.0020772384013980627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0545327328145504, 32766.0, 0.0, 0.0
7297, 0.004516188520938158, 0.0009549777605570853, 0.013390964828431606, 0.016535412520170212, 0.0036887023597955704, 0.0021355017088353634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.056451551616191864, 32766.0, 0.0, 0.0
7317, 0.004844099748879671, 0.0010307803750038147, 0.013678645715117455, 0.01732126623392105, 0.004254934377968311, 0.003553383983671665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06416775286197662, 32766.0, 0.0, 0.0
7337, 0.005199173931032419, 0.001118714571930468, 0.013754239305853844, 0.018007205799221992, 0.004709260538220406, 0.00379056204110384, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0520404577255249, 32766.0, 0.0, 0.0
7357, 0.005566341336816549, 0.0012205849634483457, 0.0138308797031641, 0.01859968900680542, 0.0052771177142858505, 0.003682263195514679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06430096179246902, 32766.0, 0.0, 0.0
7377, 0.005980270449072123, 0.0013383558252826333, 0.013072380796074867, 0.019184431061148643, 0.006051625590771437, -0.0002716817252803594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06200294569134712, 32766.0, 0.0, 0.0
7397, 0.006173612084239721, 0.001401526271365583, 0.013069122098386288, 0.019483858719468117, 0.006582498084753752, -0.000380546145606786, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06234703212976456, 32766.0, 0.0, 0.0
7417, 0.006550336256623268, 0.0015408656327053905, 0.013450548984110355, 0.019592681899666786, 0.007838147692382336, 0.002036444377154112, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.062315940856933594, 32766.0, 0.0, 0.0
7437, 0.006950728595256805, 0.0017014459008350968, 0.01349672395735979, 0.020306646823883057, 0.00791759230196476, 0.0023859033826738596, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06523354351520538, 32766.0, 0.0, 0.0
7457, 0.007389781065285206, 0.0018776297802105546, 0.012937745079398155, 0.021245379000902176, 0.008608095347881317, -0.0006725540151819587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06674174964427948, 32766.0, 0.0, 0.0
7477, 0.007820813916623592, 0.0020622408483177423, 0.012926326133310795, 0.022028572857379913, 0.009445233270525932, -0.0004447888641152531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06269203871488571, 32766.0, 0.0, 0.0
7497, 0.00826349202543497, 0.0022563559468835592, 0.012947708368301392, 0.022458745166659355, 0.010198721662163734, -0.0006553303683176637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06408911198377609, 32766.0, 0.0, 0.0
7517, 0.00871946383267641, 0.0024640958290547132, 0.012934972532093525, 0.023244988173246384, 0.011054186150431633, -0.0006578280590474606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06260530650615692, 32766.0, 0.0, 0.0
7537, 0.009191782213747501, 0.002681850455701351, 0.012924027629196644, 0.024032609537243843, 0.011069138534367085, -0.0005815087351948023, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06476046144962311, 32766.0, 0.0, 0.0
7557, 0.009660509414970875, 0.0029043483082205057, 0.013378798961639404, 0.02472629025578499, 0.011419093236327171, 0.0019350117072463036, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06178829073905945, 32766.0, 0.0, 0.0
7577, 0.01016306784003973, 0.003140962915495038, 0.013421175070106983, 0.025571197271347046, 0.011972094886004925, 0.002258279360830784, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0671747699379921, 32766.0, 0.0, 0.0
7597, 0.01074131764471531, 0.003394896863028407, 0.012060826644301414, 0.026652421802282333, 0.012308009900152683, -0.0048653967678546906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06182672828435898, 32766.0, 0.0, 0.0
7617, 0.011281341314315796, 0.003644732991233468, 0.011963865719735622, 0.027110189199447632, 0.012720489874482155, -0.004817478358745575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.065902940928936, 32766.0, 0.0, 0.0
7637, 0.011815596371889114, 0.003904086071997881, 0.012294831685721874, 0.028066512197256088, 0.013545720838010311, -0.002823100658133626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05864740163087845, 32766.0, 0.0, 0.0
7657, 0.012387472204864025, 0.004180679563432932, 0.012240082025527954, 0.02913868986070156, 0.014118819497525692, -0.0028025542851537466, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06352247297763824, 32766.0, 0.0, 0.0
7677, 0.01294712908565998, 0.004463231656700373, 0.012898953631520271, 0.029941152781248093, 0.014773362316191196, 0.0011720280162990093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06265470385551453, 32766.0, 0.0, 0.0
7697, 0.013583196327090263, 0.004769698716700077, 0.01292145624756813, 0.030912509188055992, 0.014767673797905445, 0.0013592577306553721, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06385787576436996, 32766.0, 0.0, 0.0
7717, 0.014225739985704422, 0.005073066335171461, 0.01258498802781105, 0.031838055700063705, 0.015405595302581787, -0.0006774862413294613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06531412899494171, 32766.0, 0.0, 0.0
7737, 0.014873599633574486, 0.005385751370340586, 0.012575723230838776, 0.03279775008559227, 0.015791676938533783, -0.00046679191291332245, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06785284727811813, 32766.0, 0.0, 0.0
7757, 0.015543595887720585, 0.0057095931842923164, 0.012567839585244656, 0.03387705236673355, 0.01618737168610096, -0.0005656539578922093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06756589561700821, 32766.0, 0.0, 0.0
7777, 0.016223831102252007, 0.006041200831532478, 0.01274176873266697, 0.034855276346206665, 0.01675158180296421, 0.00022258952958509326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06348616629838943, 32766.0, 0.0, 0.0
7797, 0.016933098435401917, 0.006380271166563034, 0.012742478400468826, 0.03607619181275368, 0.017122508957982063, -6.0933238273719326e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.067013218998909, 32766.0, 0.0, 0.0
7817, 0.017678523436188698, 0.006731082685291767, 0.012439465150237083, 0.03716200217604637, 0.017920585349202156, -0.0014329433906823397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.062354668974876404, 32766.0, 0.0, 0.0
7837, 0.018431957811117172, 0.007088453508913517, 0.012409280985593796, 0.038185521960258484, 0.018316389992833138, -0.001608059974387288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06730521470308304, 32766.0, 0.0, 0.0
7857, 0.019150730222463608, 0.007446049712598324, 0.013415439985692501, 0.03893034905195236, 0.018393056467175484, 0.0036597505677491426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06307317316532135, 32766.0, 0.0, 0.0
7877, 0.019941169768571854, 0.007821846753358841, 0.013489479199051857, 0.040042173117399216, 0.018825674429535866, 0.0038435906171798706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06878254562616348, 32766.0, 0.0, 0.0
7897, 0.020787809044122696, 0.008214070461690426, 0.01294164452701807, 0.041361838579177856, 0.01947147026658058, 0.00026638255803845823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0663813054561615, 32766.0, 0.0, 0.0
7917, 0.021629126742482185, 0.008609418757259846, 0.012945614755153656, 0.04232945293188095, 0.020145760849118233, 0.00015710026491433382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06826659291982651, 32766.0, 0.0, 0.0
7937, 0.022491436451673508, 0.009018522687256336, 0.012967006303369999, 0.0439407043159008, 0.02046082727611065, -0.0001013954242807813, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06569380313158035, 32766.0, 0.0, 0.0
7957, 0.02338145673274994, 0.009436598978936672, 0.01296905055642128, 0.04498523846268654, 0.02159859798848629, 0.00013355669216252863, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06349825114011765, 32766.0, 0.0, 0.0
7977, 0.02429579757153988, 0.009871533140540123, 0.01297177467495203, 0.04655858501791954, 0.021878687664866447, 0.00026191171491518617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06447816640138626, 32766.0, 0.0, 0.0
7997, 0.025259437039494514, 0.010323581285774708, 0.012570727616548538, 0.047667618840932846, 0.02308044396340847, -0.0012471149675548077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06372211128473282, 32766.0, 0.0, 0.0
8017, 0.026224814355373383, 0.010784203186631203, 0.012545693665742874, 0.04887574166059494, 0.023355139419436455, -0.001073268475010991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06609359383583069, 32766.0, 0.0, 0.0
8037, 0.027252541854977608, 0.0112609239295125, 0.01190593559294939, 0.04998471960425377, 0.023814668878912926, -0.004357571713626385, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06433113664388657, 32766.0, 0.0, 0.0
8057, 0.028262514621019363, 0.011743349954485893, 0.011821328662335873, 0.05105859786272049, 0.024327395483851433, -0.004218677990138531, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06582695990800858, 32766.0, 0.0, 0.0
8077, 0.029234981164336205, 0.012225058861076832, 0.012639088556170464, 0.052277032285928726, 0.02471189573407173, 0.0009201198117807508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.058438386768102646, 32766.0, 0.0, 0.0
8097, 0.03034627065062523, 0.012753098271787167, 0.012662617489695549, 0.0534941591322422, 0.02517830766737461, 0.0012385895242914557, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06414217501878738, 32766.0, 0.0, 0.0
8117, 0.03142261132597923, 0.013264160603284836, 0.012807820923626423, 0.05508943274617195, 0.025776663795113564, 0.002112919930368662, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0674707293510437, 32766.0, 0.0, 0.0
8137, 0.03253648057579994, 0.013788080774247646, 0.012846175581216812, 0.05632386729121208, 0.026799043640494347, 0.0020382266957312822, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.06498190015554428, 32766.0, 0.0, 0.0
8157, 0.03367236629128456, 0.014323548413813114, 0.012929779477417469, 0.05757735297083855, 0.027267396450042725, 0.0022735907696187496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07033836096525192, 32766.0, 0.0, 0.0
