timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2
10654, 0.0012426686007529497, 0.002112635411322117, 0.0051480685360729694, 0.008570878766477108, 0.00027341642999090254, 0.0015421357238665223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10674, 0.0014177834382280707, 0.002114966744557023, 0.005176665727049112, 0.008996511809527874, -2.9579918191302568e-05, 0.0013724290765821934, 133560.84375, 155967.90625, 88477.546875, 131108.28125, 142029.71875, 104367.671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.030069049447774887, 0.0, 0, 0
10694, 0.0005563368904404342, 0.0021202561911195517, 0.005507893860340118, 0.006092074327170849, -8.649529627291486e-05, 0.002780579263344407, 133570.890625, 155966.0, 88474.515625, 131116.640625, 142042.34375, 104364.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.028896331787109375, 0.0, 0.0, 0.0
10714, 0.0006853312952443957, 0.002116236835718155, 0.005566110368818045, 0.006740067154169083, -0.00031166354892775416, 0.002991529880091548, 133588.28125, 155969.8125, 88481.390625, 131123.953125, 142036.53125, 104366.34375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.02877780608832836, 0.0, 0.0, 0.0
10734, 0.0008234694832935929, 0.002107552718371153, 0.005629888270050287, 0.007116872817277908, -0.0005628482322208583, 0.003481210209429264, 133586.03125, 155969.8125, 88483.3203125, 131134.546875, 142045.125, 104369.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029469667002558708, 0.0, 0.0, 0.0
10754, 0.0004397938901092857, 0.0021211893763393164, 0.0058553083799779415, 0.005369026213884354, -0.0004043379449285567, 0.004353770054876804, 133601.796875, 155967.90625, 88498.6953125, 131130.671875, 142049.671875, 104378.6328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029761016368865967, 0.0, 0.0, 0.0
10774, 0.0005529742338694632, 0.002114011673256755, 0.005941162351518869, 0.005923329386860132, -0.00032722155447117984, 0.00429825484752655, 133597.296875, 155966.0, 88492.9296875, 131135.609375, 142051.9375, 104384.859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.029529547318816185, 0.0, 0.0, 0.0
10794, 0.0004311479569878429, 0.00279607018455863, 0.006034167017787695, 0.0052098766900599, 0.002614940283820033, 0.004329356364905834, 133614.09375, 155971.703125, 88504.7734375, 131146.8125, 142065.078125, 104389.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.028826531022787094, 0.0, 0.0, 0.0
10814, 0.0010634640930220485, 0.0027374562341719866, 0.006119893863797188, 0.0069877030327916145, 0.0027284519746899605, 0.0042559914290905, 133616.953125, 155967.90625, 88510.234375, 131142.328125, 142062.8125, 104390.5078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03252887353301048, 0.0, 0.0, 0.0
10834, 0.0007565764244645834, 0.002687175292521715, 0.006140847224742174, 0.005778173450380564, 0.003161614527925849, 0.003946593962609768, 133621.453125, 155971.703125, 88513.578125, 131151.28125, 142062.8125, 104398.0703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.026182180270552635, 0.0, 0.0, 0.0
