timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, preprocesswhisker1_1, preprocesswhisker1_2, preprocesswhisker1_3, preprocesswhisker2_1, preprocesswhisker2_2, preprocesswhisker2_3, roll, pitch
10812, 0.003439023159444332, -0.0014400533400475979, 0.0035349123645573854, 0.009553763084113598, -0.002924163592979312, -0.0005307442042976618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10832, 0.0034030957613140345, -0.0003007176273968071, 0.002889107447117567, 0.009325752966105938, 0.0011480797547847033, -0.0035857518669217825, 114464.546875, 149444.5, 90989.7265625, 111495.2265625, 137222.078125, 96494.109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08229392021894455, 2.4205429553985596
10852, 0.003912558779120445, -0.0003094329731538892, 0.00281796557828784, 0.01120772399008274, 0.0010719974525272846, -0.0034196865744888783, 114469.5859375, 149460.234375, 90990.515625, 111505.25, 137218.578125, 96490.8359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08370980620384216, 2.405198097229004
10872, 0.003296516602858901, -0.0008542215218767524, 0.002838642569258809, 0.008773689158260822, -0.001180920866318047, -0.003130317199975252, 114476.078125, 149462.109375, 90998.734375, 111509.59375, 137224.875, 96497.3828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08503493666648865, 2.4023051261901855
10892, 0.0030670552514493465, -0.000836786231957376, 0.0027758970391005278, 0.007842239923775196, -0.0011565859895199537, -0.003358060959726572, 114481.8671875, 149467.171875, 90997.5625, 111514.5703125, 137231.171875, 96502.1640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11296598613262177, 2.42647385597229
10912, 0.003561585210263729, -0.00035178553662262857, 0.0016128976130858064, 0.009996860288083553, 0.0007884637452661991, -0.009374935179948807, 114497.7265625, 149470.90625, 90997.953125, 111516.7109375, 137241.5, 96508.2109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08780897408723831, 2.4195523262023926
10932, 0.002883815672248602, -0.0016912443097680807, 0.001429657218977809, 0.007523309905081987, -0.004328959155827761, -0.00905650481581688, 114503.515625, 149478.28125, 91002.65625, 111518.859375, 137236.25, 96514.7578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11297465860843658, 2.435894250869751
10952, 0.00275964243337512, -0.0008276733569800854, 0.0012570768594741821, 0.006948303431272507, -0.0006731769535690546, -0.008909032680094242, 114511.46875, 149491.703125, 91003.828125, 111527.4296875, 137240.265625, 96518.78125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09957261383533478, 2.4181902408599854
10972, 0.0023151307832449675, -0.0008533025975339115, 0.00226337811909616, 0.00504929106682539, -0.00044071231968700886, -0.003002222627401352, 114515.046875, 149491.265625, 91011.671875, 111529.5703125, 137244.8125, 96526.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10077176243066788, 2.4536592960357666
10992, 0.0019181312527507544, -0.00041381880873814225, 0.0022065946832299232, 0.0037993076257407665, 0.0014061109395697713, -0.002641956554725766, 114524.453125, 149492.59375, 91013.6328125, 111541.0390625, 137247.609375, 96530.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10259125381708145, 2.449781656265259
11012, 0.0022086550015956163, -0.0007886553066782653, 0.0020676141139119864, 0.005028311163187027, 0.0005974564119242132, -0.0031076690647751093, 114525.1640625, 149495.875, 91011.28125, 111545.3203125, 137244.8125, 96532.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08665674179792404, 2.451983690261841
11032, 0.0025153898168355227, -0.0008140973513945937, 0.0020117827225476503, 0.006217104382812977, 0.00034344446612522006, -0.002907603047788143, 114536.7421875, 149511.171875, 91012.453125, 111537.4453125, 137255.140625, 96531.1171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08579672127962112, 2.437206506729126
11052, 0.0025031287223100662, -0.0011547229951247573, 0.001970137469470501, 0.005790300667285919, -0.0024298608768731356, -0.0017488942248746753, 114537.4453125, 149507.4375, 91012.453125, 111552.4453125, 137253.390625, 96542.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09664659202098846, 2.4448022842407227
11072, 0.0027704755775630474, -0.00040640754741616547, 0.001921623246744275, 0.006524907890707254, 0.00043186472612433136, -0.0030690741259604692, 114551.1875, 149509.75, 91021.46875, 111556.0390625, 137255.140625, 96538.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10308133810758591, 2.444746255874634
11092, 0.0023607793264091015, -0.0010212879860773683, 0.0019119023345410824, 0.004835495259612799, -0.0015965825878083706, -0.0027034860104322433, 114546.8125, 149521.3125, 91021.46875, 111557.421875, 137260.21875, 96546.2265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09837071597576141, 2.453660249710083
11112, 0.002465581987053156, -0.001056975917890668, 0.0018620457267388701, 0.0052282800897955894, -0.001414282713085413, -0.001983081456273794, 114559.1015625, 149512.0625, 91026.5625, 111563.15625, 137253.390625, 96540.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10793962329626083, 2.4587197303771973
11132, 0.0027934187091886997, -0.00038074905751273036, 0.002295501995831728, 0.006518791429698467, 0.0015793215716257691, 0.0007630714680999517, 114558.390625, 149521.3125, 91022.2578125, 111570.34375, 137264.765625, 96552.2734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10983632504940033, 2.4498634338378906
11152, 0.002738379407674074, -0.0007238467806018889, 0.002314309123903513, 0.005584816448390484, -0.0006387938046827912, 0.0013847488444298506, 114569.21875, 149532.421875, 91026.1796875, 111573.1796875, 137265.984375, 96558.3203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.103658027946949, 2.460179567337036
11172, 0.002362260827794671, -0.00041644120938144624, 0.0023407803382724524, 0.0035702537279576063, 0.0008675741846673191, 0.0006607456016354263, 114571.3828125, 149530.546875, 91033.234375, 111578.9140625, 137264.234375, 96557.8125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10419352352619171, 2.45801043510437
11192, 0.002342554274946451, -0.001021617092192173, 0.002213733969256282, 0.0034859906882047653, -0.0017308491514995694, 0.00015283159154932946, 114582.9609375, 149525.9375, 91034.40625, 111583.203125, 137268.78125, 96570.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10465268790721893, 2.459357500076294
11212, 0.0026562148705124855, -0.00044491313747130334, 0.0022150822915136814, 0.005186657886952162, 0.0009072005632333457, -5.545937710849103e-06, 114586.5390625, 149537.046875, 91029.3125, 111583.203125, 137273.328125, 96566.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11717338114976883, 2.4555180072784424
11232, 0.002672268310561776, -0.0007337291026487947, 0.0025456310249865055, 0.005493992008268833, -0.0007862861966714263, 0.0017665484920144081, 114588.7109375, 149543.96875, 91037.1484375, 111579.609375, 137271.0625, 96562.34375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10823601484298706, 2.443587303161621
11252, 0.0020697861909866333, -0.00044626559247262776, 0.0025817861314862967, 0.002484958153218031, 0.0003275868948549032, 0.0017656583804637194, 114594.5, 149544.421875, 91040.28125, 111589.6328125, 137268.78125, 96574.4375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10823171585798264, 2.4434940814971924
11272, 0.0023025423288345337, -0.001045416807755828, 0.0032139713875949383, 0.003921545576304197, -0.0024463352747261524, 0.005193152464926243, 114596.6640625, 149542.5625, 91036.765625, 111589.6328125, 137273.328125, 96570.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10347726941108704, 2.4566755294799805
11292, 0.0022766999900341034, -0.0004663086438085884, 0.003321063006296754, 0.003931465093046427, 0.00040175087633542717, 0.005412260536104441, 114606.03125, 149553.21875, 91037.1484375, 111593.9140625, 137283.140625, 96575.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13724671304225922, 2.4580254554748535
11312, 0.002327433554455638, -0.0010309407953172922, 0.002462920732796192, 0.0039009670726954937, -0.002111097564920783, 0.0005626286147162318, 114612.5703125, 149553.21875, 91039.109375, 111591.078125, 137277.359375, 96578.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10478246212005615, 2.4529385566711426
11332, 0.0024116034619510174, -0.0010687338653951883, 0.002470951061695814, 0.004037011414766312, -0.0019129926804453135, 0.00043330431799404323, 114609.65625, 149555.984375, 91038.328125, 111600.34375, 137273.859375, 96578.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12836314737796783, 2.452361583709717
11352, 0.0025135043542832136, -0.0011077565141022205, 0.0022859140299260616, 0.004770135506987572, -0.002251841826364398, -0.0005068709724582732, 114617.609375, 149557.84375, 91039.109375, 111601.796875, 137281.390625, 96586.5234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1267988681793213, 2.443276882171631
11372, 0.00261927698738873, -0.0011532326461747289, 0.0022816176060587168, 0.005258865188807249, -0.0029090221505612135, -6.0201236919965595e-05, 114622.6484375, 149559.71875, 91037.5390625, 111606.7734375, 137276.84375, 96585.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12995384633541107, 2.4375689029693604
11392, 0.003015564987435937, -0.0003797701792791486, 0.0022826516069471836, 0.007010266650468111, 0.0006888124626129866, -0.00014584219024982303, 114626.2734375, 149566.640625, 91037.9375, 111606.7734375, 137283.65625, 96593.828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10266892611980438, 2.423037052154541
11412, 0.0026692498940974474, -0.0007788104121573269, 0.002160104224458337, 0.005279850214719772, -0.0011107140453532338, -0.0009010720532387495, 114626.2734375, 149570.828125, 91044.203125, 111613.9609375, 137278.40625, 96596.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11696076393127441, 2.4345345497131348
11432, 0.0026584689039736986, -0.0011695510474964976, 0.0021403634455055, 0.005082716234028339, -0.00249043432995677, -0.0010550162987783551, 114632.7734375, 149575.890625, 91046.953125, 111610.3671875, 137285.9375, 96596.59375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1163601204752922, 2.4260494709014893
