timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop
10512, 103358.4296875, 135411.984375, 90815.96875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10532, 103372.3046875, 135424.515625, 90820.3203125, 98894.375, 134855.859375, 86287.7109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10552, 103390.484375, 135443.40625, 90832.1015625, 98899.7734375, 134864.96875, 86309.4375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10572, 103397.3515625, 135448.53125, 90837.2265625, 98910.734375, 134868.984375, 86313.6328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10592, 103411.96875, 135457.671875, 90847.046875, 98917.453125, 134879.84375, 86323.9296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10612, 103425.84375, 135470.8125, 90852.9375, 98925.6328125, 134886.671875, 86329.6484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10632, 103438.3671875, 135474.828125, 90852.9375, 98935.859375, 134902.609375, 86342.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10652, 103450.8984375, 135489.09375, 90857.640625, 98945.359375, 134911.71875, 86349.859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10672, 103464.171875, 135499.953125, 90858.0625, 98959.0859375, 134915.734375, 86361.296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10692, 103483.5703125, 135500.515625, 90856.8671875, 98967.859375, 134927.640625, 86366.2578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10712, 103494.015625, 135515.953125, 90866.6875, 98978.0859375, 134932.203125, 86366.2578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10732, 103505.8046875, 135523.34375, 90863.953125, 98989.6328125, 134939.03125, 86385.328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10752, 103519.078125, 135529.65625, 90863.953125, 98992.40625, 134939.03125, 86392.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10772, 103526.0859375, 135540.515625, 90875.7421875, 99001.3203125, 134940.78125, 86400.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10792, 103532.9609375, 135545.09375, 90875.7421875, 99013.453125, 134954.4375, 86400.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10812, 103543.40625, 135549.65625, 90881.6328125, 99009.5, 134960.21875, 86415.0859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10832, 103552.3671875, 135562.8125, 90879.671875, 99020.3203125, 134963.71875, 86422.71875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10852, 103564.1640625, 135567.375, 90884.796875, 99025.0, 134964.25, 86421.5703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10872, 103578.1796875, 135578.796875, 90889.921875, 99030.546875, 134971.078125, 86424.625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10892, 103581.0078125, 135574.234375, 90885.9921875, 99040.78125, 134980.171875, 86430.34375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
10912, 103594.890625, 135585.65625, 90878.1328125, 99043.4140625, 134978.421875, 86432.640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
