timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, gpislabel, yaw, laserFront, KFwhisker1, KFwhisker2
13915, 0.009151704609394073, 0.039728794246912, 0.011087399907410145, 0.011836919002234936, 0.0026270998641848564, 0.002904703142121434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13935, 0.009453533217310905, 0.03978624567389488, 0.010291039012372494, 0.012925411574542522, 0.002900965278968215, -0.0016366521595045924, 136018.6875, 155172.6875, 83692.40625, 128289.3125, 144309.703125, 105807.5234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.582396984100342, 0, 0, 0
13955, 0.009722225368022919, 0.039846643805503845, 0.010261585004627705, 0.013982366770505905, 0.0031834121327847242, -0.0013211629120633006, 136014.1875, 155174.5625, 83696.125, 128292.15625, 144303.875, 105804.109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.578150510787964, 32766.0, 0.0, 0.0
13975, 0.010011802427470684, 0.039912715554237366, 0.010236134752631187, 0.014926579780876637, 0.00343079655431211, -0.001201307401061058, 136011.9375, 155170.8125, 83696.125, 128284.875, 144309.703125, 105806.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.571910858154297, 32766.0, 0.0, 0.0
13995, 0.010327514261007309, 0.039982885122299194, 0.010119813494384289, 0.016114380210638046, 0.0035077857319265604, -0.0011614401591941714, 136015.84375, 155170.8125, 83694.265625, 128289.9296875, 144305.65625, 105803.359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5669946670532227, 32766.0, 0.0, 0.0
14015, 0.010661456733942032, 0.0400545671582222, 0.010103196837008, 0.017294589430093765, 0.0037149987183511257, -0.0006382472347468138, 136011.9375, 155172.6875, 83696.125, 128288.3359375, 144307.921875, 105806.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5623490810394287, 32766.0, 0.0, 0.0
14035, 0.010993941687047482, 0.0401318185031414, 0.010460137389600277, 0.018249809741973877, 0.00411380548030138, 0.0013395383721217513, 136022.0, 155168.9375, 83699.015625, 128290.9140625, 144307.4375, 105802.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5577399730682373, 32766.0, 0.0, 0.0
14055, 0.011366874910891056, 0.040219537913799286, 0.01048964448273182, 0.01904929429292679, 0.0046592531725764275, 0.001641989452764392, 136014.1875, 155172.6875, 83693.2265625, 128289.3125, 144298.84375, 105806.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5521249771118164, 32766.0, 0.0, 0.0
14075, 0.011773922480642796, 0.04031557962298393, 0.010315156541764736, 0.02040686272084713, 0.004886958282440901, 0.0008450124296359718, 136011.9375, 155170.8125, 83701.6953125, 128292.15625, 144303.875, 105813.015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.549086809158325, 32766.0, 0.0, 0.0
14095, 0.012214694172143936, 0.04042474180459976, 0.010335894301533699, 0.02173888124525547, 0.005654165055602789, 0.0011915132636204362, 136016.4375, 155174.5625, 83703.5546875, 128287.7109375, 144302.90625, 105815.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.545591115951538, 32766.0, 0.0, 0.0
