timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, roll, pitch
17954, 0.003476671874523163, -0.0006233835592865944, 2.399832555965986e-05, 0.007683974225074053, 0.0007355739362537861, 0.0004357535217422992, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17974, 0.003892735578119755, -0.0006208455888554454, 2.5180468583130278e-05, 0.00966746173799038, 0.0008164173923432827, 0.000762745039537549, 104137.515625, 140447.59375, 92969.703125, 99243.6796875, 134084.1875, 89146.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21196499466896057, 2.655970335006714
17994, 0.0040929680690169334, -0.0006044027977623045, 3.9186452340800315e-05, 0.010500319302082062, 0.0008683563210070133, 0.000629210437182337, 104129.140625, 140448.09375, 92966.046875, 99237.5390625, 134084.1875, 89150.2578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21026723086833954, 2.6517932415008545
18014, 0.0036795134656131268, -0.0006040286971256137, 3.3703014196362346e-05, 0.008637288585305214, 0.0007528055575676262, 0.0005536420503631234, 104133.328125, 140450.40625, 92968.484375, 99240.3203125, 134084.1875, 89149.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.20954658091068268, 2.667285919189453
18034, 0.0041125183925032616, -0.0006115680444054306, 4.5483073336072266e-05, 0.010523132048547268, 0.00030037673423066735, 0.0006160116754472256, 104131.9765625, 140452.1875, 92964.5078125, 99236.953125, 134083.515625, 89149.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2080189287662506, 2.654082775115967
18054, 0.004331357777118683, -0.0006061388994567096, 5.61942724743858e-05, 0.011450016871094704, 0.0002981885045301169, 0.0005591619410552084, 104136.78125, 140450.40625, 92960.078125, 99238.2734375, 134085.25, 89149.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.20553170144557953, 2.650573968887329
18074, 0.004095917567610741, -0.0006022261222824454, 5.131090438226238e-05, 0.010418703779578209, 0.0002545577590353787, 0.0008734363946132362, 104129.140625, 140452.1875, 92959.3125, 99238.2734375, 134079.640625, 89152.625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.20383037626743317, 2.6364352703094482
18094, 0.004310316406190395, -0.0005993008380755782, 7.18756127753295e-05, 0.011093427427113056, 4.8691810661694035e-05, 0.0011506560258567333, 104132.59375, 140451.6875, 92956.875, 99230.8125, 134080.703125, 89149.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.20224156975746155, 2.6523139476776123
18114, 0.004552628379315138, -0.0005965935415588319, 6.633379234699532e-05, 0.011889205314218998, 0.0001692496589384973, 0.0010737781412899494, 104127.046875, 140450.40625, 92963.7421875, 99236.21875, 134085.25, 89153.3828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.20079967379570007, 2.646688222885132
18134, 0.004002378322184086, -0.0006095934077166021, 9.275929915020242e-05, 0.009678446687757969, -1.221850652655121e-06, 0.0012565333163365722, 104133.4453125, 140447.59375, 92961.3046875, 99236.21875, 134083.515625, 89153.3828125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.19984102249145508, 2.6676487922668457
