timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2
9596, 0.0010102710220962763, 0.0003909264924004674, 0.006092677358537912, 0.0049985856749117374, 0.001986835617572069, -0.00048279258771799505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9616, 0.0012592461425811052, 0.00012492701353039593, 0.005652156192809343, 0.005959919188171625, 0.0006315222708508372, -0.0028599435463547707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05071701109409332, 0.0, 0, 0
9636, 0.0013182146940380335, 0.00040363508742302656, 0.005598277784883976, 0.0064111147075891495, 0.002072964794933796, -0.0026234181132167578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05109824240207672, 0.0, 0.0, 0.0
9656, 0.0009692375315353274, 0.0003697511274367571, 0.0053362431935966015, 0.004781949333846569, 0.0018652928993105888, -0.003946291282773018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.052030049264431, 0.0, 0.0, 0.0
9676, 0.0012642524670809507, 0.00012822380813304335, 0.0052570439875125885, 0.0062720379792153835, 0.000472716405056417, -0.003992854617536068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05085829272866249, 0.0, 0.0, 0.0
9696, 0.0012412213254719973, 0.0001244406885234639, 0.005488439928740263, 0.006041905377060175, 0.0006161162746138871, -0.002282785950228572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05170449614524841, 0.0, 0.0, 0.0
9716, 0.0013687381288036704, 0.00014006266428623348, 0.005439375061541796, 0.00677405996248126, 0.0008124916348606348, -0.0025046681985259056, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05059037730097771, 0.0, 0.0, 0.0
9736, 0.0013305186294019222, 0.0004006669914815575, 0.0053945486433804035, 0.006482270080596209, 0.0019332310184836388, -0.0021762887481600046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05137677863240242, 0.0, 0.0, 0.0
9756, 0.0015762441325932741, 0.00014458526857197285, 0.004778233822435141, 0.007706663105636835, 0.00047742537572048604, -0.005125582218170166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05067075416445732, 0.0, 0.0, 0.0
9776, 0.0013039844343438745, 0.0003929703088942915, 0.0046804724261164665, 0.0060552083887159824, 0.00202333927154541, -0.00501959677785635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.050660185515880585, 0.0, 0.0, 0.0
9796, 0.0010188757441937923, 0.00012574291031342, 0.005131381563842297, 0.005046767182648182, 0.0009060338488779962, -0.0024659340269863605, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04465720057487488, 0.0, 0.0, 0.0
9816, 0.001308977254666388, 0.00013431828119792044, 0.005083079449832439, 0.006270388141274452, 0.000960524077527225, -0.0023012792225927114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04894734174013138, 0.0, 0.0, 0.0
9836, 0.0010486601386219263, 0.00012386245361994952, 0.004625224974006414, 0.004844733513891697, 0.0011749082477763295, -0.004092532210052013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04690863564610481, 0.0, 0.0, 0.0
9856, 0.0013136150082573295, 0.00040126280509866774, 0.004543739836663008, 0.005971419159322977, 0.0028959300834685564, -0.00397109892219305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05106625333428383, 0.0, 0.0, 0.0
9876, 0.0012725854758173227, 0.000400838180212304, 0.005046626087278128, 0.005633120890706778, 0.003087627934291959, -0.0009017408592626452, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.04835699498653412, 0.0, 0.0, 0.0
9896, 0.0012443733867257833, 0.00014820981596130878, 0.005038126837462187, 0.005931496154516935, 0.0017127583269029856, -0.0002957916585728526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05024661868810654, 0.0, 0.0, 0.0
9916, 0.0008291616104543209, 0.000418251845985651, 0.0042335563339293, 0.0033825081773102283, 0.003157612169161439, -0.004543638788163662, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05227105692028999, 0.0, 0.0, 0.0
9936, 0.0013631479814648628, 0.0004558777727652341, 0.004144003149122, 0.005748901516199112, 0.003595842281356454, -0.004527663812041283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05225854739546776, 0.0, 0.0, 0.0
9956, 0.001453146105632186, 0.0005308060208335519, 0.0051726833917200565, 0.005975503474473953, 0.004103621002286673, 0.0014762275386601686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.053696271032094955, 0.0, 0.0, 0.0
9976, 0.0014012121828272939, 0.000495174725074321, 0.005203761160373688, 0.00563773000612855, 0.0038651535287499428, 0.0013774193357676268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.052840929478406906, 0.0, 0.0, 0.0
9996, 0.0011655045673251152, 0.00024109877995215356, 0.005146704148501158, 0.00400910247117281, 0.002383472165092826, 0.0008998209959827363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.051692795008420944, 0.0, 0.0, 0.0
