timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront
9829, 0.0003320382966194302, 0.0033281429205089808, 0.009394348599016666, 0.0030773510225117207, -0.002024095505475998, 0.0031007935758680105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9849, 0.00036298311897553504, 0.003778717014938593, 0.009458211250603199, 0.0034616515040397644, 0.0007181129767559469, 0.0031064634677022696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05803588032722473, 0.0
9869, 0.0005872148321941495, 0.0037759195547550917, 0.009316147305071354, 0.004818409215658903, 0.0008176375995390117, 0.0021756680216640234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.059725940227508545, 0.0
9889, 0.0005819728830829263, 0.003779310267418623, 0.009364156052470207, 0.00493804132565856, 0.0009155262960121036, 0.0023459147196263075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06098035350441933, 0.0
9909, 0.0006197096081450582, 0.003545516636222601, 0.00940915010869503, 0.005045555531978607, -0.00031353303347714245, 0.00218723202124238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06260104477405548, 0.0
9929, 0.0008588025229983032, 0.003779612248763442, 0.009284761734306812, 0.006580680143088102, 0.000989750842563808, 0.00177573983091861, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06299936771392822, 0.0
9949, 0.001085558789782226, 0.0035578387323766947, 0.009324057027697563, 0.007778271567076445, 8.800900832284242e-05, 0.0019024350913241506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06261294335126877, 0.0
9969, 0.0008623699541203678, 0.003536081640049815, 0.008827213197946548, 0.006780997850000858, -6.449186184909195e-05, -0.0005768052069470286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.062433529645204544, 0.0
9989, 0.0009092647233046591, 0.004007747396826744, 0.008819254115223885, 0.006822282448410988, 0.0024275709874927998, -0.00032272664248012006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06145313009619713, 0.0
10009, 0.0003895351546816528, 0.003486147616058588, 0.009314926341176033, 0.003699264954775572, -0.0002452191256452352, 0.002403758466243744, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0608808808028698, 0.0
10029, 0.001169825904071331, 0.0037325837183743715, 0.00936900358647108, 0.007464233785867691, 0.001085098134353757, 0.0029135290533304214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061895933002233505, 0.0
10049, 0.0017734221182763577, 0.004511701874434948, 0.008446835912764072, 0.010395371355116367, 0.005484927445650101, -0.0026201026048511267, 114414.0234375, 146500.171875, 89148.8671875, 115941.671875, 138244.46875, 95905.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06607644259929657, 0.0
10069, 0.0022253829520195723, 0.0037360277492552996, 0.008410760201513767, 0.01260415744036436, 0.0021680358331650496, -0.002536983462050557, 114540.09375, 146561.203125, 89207.9609375, 116035.0390625, 138346.875, 95958.7578125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0610426589846611, 0.0
