timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2
53467, 24.1485652923584, -7.355812072753906, 0.015120698139071465, 0.01826559193432331, 0.012881238013505936, 0.005717935971915722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
53487, 24.148889541625977, -7.355580806732178, 0.014001842588186264, 0.018797535449266434, 0.013251383788883686, -0.00043930913670919836, 132384.1875, 152961.296875, 89226.6875, 129746.8984375, 141687.421875, 101875.6484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.3242073059082, 0.0, 0.0, 0.0
53507, 24.14927101135254, -7.35530948638916, 0.013996039517223835, 0.019484706223011017, 0.01388370618224144, -0.00012473844981286675, 132378.046875, 152957.109375, 89216.21875, 129743.4765625, 141685.140625, 101879.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.250648498535156, 0.0, 0.0, 0.0
53527, 24.14969253540039, -7.355008602142334, 0.01439114473760128, 0.020080724731087685, 0.014525480568408966, 0.0023286822251975536, 132380.296875, 152966.328125, 89225.0859375, 129743.4765625, 141685.140625, 101873.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.177650451660156, 0.0, 0.0, 0.0
53547, 24.150104522705078, -7.354710102081299, 0.014440605416893959, 0.021071210503578186, 0.015265554189682007, 0.002576597733423114, 132378.046875, 152970.515625, 89225.0859375, 129747.953125, 141684.65625, 101884.6328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.10715866088867, 0.0, 0.0, 0.0
53567, 24.150531768798828, -7.354397296905518, 0.013927583582699299, 0.02156793139874935, 0.015667226165533066, -0.0002514319494366646, 132374.140625, 152968.640625, 89223.1484375, 129745.7109375, 141689.703125, 101879.765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 37.03555679321289, 0.0, 0.0, 0.0
53587, 24.150972366333008, -7.354078769683838, 0.013921401463449001, 0.022477954626083374, 0.01621805503964424, -0.0003357974055688828, 132378.046875, 152964.015625, 89232.015625, 129751.8359375, 141693.765625, 101874.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.964073181152344, 0.0, 0.0, 0.0
53607, 24.151430130004883, -7.353748321533203, 0.013917501084506512, 0.02339499071240425, 0.01702192798256874, -0.00015025580069050193, 132375.796875, 152968.203125, 89223.1484375, 129745.7109375, 141687.421875, 101880.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.89602279663086, 0.0, 0.0, 0.0
53627, 24.151914596557617, -7.353403091430664, 0.013535591773688793, 0.024347644299268723, 0.01711508259177208, -0.0018800720572471619, 132381.9375, 152959.40625, 89223.953125, 129739.0, 141685.640625, 101886.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.824039459228516, 0.0, 0.0, 0.0
53647, 24.152406692504883, -7.353058815002441, 0.013499201275408268, 0.025004003196954727, 0.017487499862909317, -0.0017675883136689663, 132371.28125, 152965.90625, 89225.0859375, 129742.8828125, 141687.421875, 101880.515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.75230407714844, 0.0, 0.0, 0.0
