timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2
15191, 0.001275362679734826, 0.0009126751683652401, 0.005496359430253506, 0.0026115018408745527, 0.0012541585601866245, -0.004860247485339642, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15211, 0.0012728858273476362, 5.5531098041683435e-05, 0.005399215500801802, 0.002539824228733778, -0.0028228319715708494, -0.004921512678265572, 130623.0, 155622.640625, 87610.6484375, 129057.65625, 141209.21875, 102643.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07744989544153214, 0.0, 0, 0
15231, 0.0012722259853035212, 0.0003481486055534333, 0.004734228365123272, 0.002472618594765663, -0.001303650438785553, -0.007588811218738556, 130627.4765625, 155620.75, 87611.7421875, 129051.578125, 141220.546875, 102647.484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07863214612007141, 0.0, 0.0, 0.0
15251, 0.0012949289521202445, 0.0006189676350913942, 0.004580927547067404, 0.0026694443076848984, -0.00016332001541741192, -0.007736360654234886, 130619.796875, 155620.75, 87617.46875, 129051.578125, 141220.03125, 102646.7265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07884109765291214, 0.0, 0.0, 0.0
15271, 0.002072025090456009, 0.0006216371548362076, 0.00546196149662137, 0.006694979500025511, -0.00022559416538570076, -0.002305978676304221, 130629.078125, 155616.96875, 87610.921875, 129049.3515625, 141216.015625, 102643.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07877424359321594, 0.0, 0.0, 0.0
15291, 0.001234809635207057, 0.00036132376408204436, 0.005420774687081575, 0.002361877355724573, -0.0012707830173894763, -0.002221164759248495, 130625.2421875, 155620.75, 87611.4609375, 129059.2734375, 141212.0, 102642.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07770750671625137, 0.0, 0.0, 0.0
15311, 0.0012252512387931347, 0.0006276548374444246, 0.0052145738154649734, 0.0023537189699709415, 0.00022982247173786163, -0.0031239509116858244, 130617.5625, 155620.75, 87616.65625, 129055.4296875, 141213.75, 102652.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07961500436067581, 0.0, 0.0, 0.0
15331, 0.0012742651160806417, 0.0006341920816339552, 0.005155926104635, 0.002664998173713684, 0.0003997165767941624, -0.0030152802355587482, 130617.5625, 155622.640625, 87616.65625, 129046.515625, 141220.03125, 102640.0078125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0782693549990654, 0.0, 0.0, 0.0
15351, 0.0012830512132495642, 5.361254443414509e-05, 0.005444364156574011, 0.002648693509399891, -0.002281085355207324, -0.0010642827255651355, 130630.34375, 155620.75, 87621.5703125, 129056.0390625, 141226.84375, 102644.671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08287739008665085, 0.0, 0.0, 0.0
15371, 0.0017979544354602695, 0.0014811325818300247, 0.0054251523688435555, 0.005140434484928846, 0.005277944263070822, -0.001226430875249207, 130624.8984375, 155618.859375, 87620.1953125, 129057.046875, 141214.265625, 102648.7890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08342181146144867, 0.0, 0.0, 0.0
15391, 0.0014860719675198197, 9.435496031073853e-05, 0.005248348228633404, 0.003272969974204898, -0.0016294148517772555, -0.0017938364762812853, 130617.5625, 155620.75, 87618.5703125, 129050.96875, 141218.796875, 102650.84375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.093639075756073, 0.0, 0.0, 0.0
