timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2
8662, 0.0030997663270682096, 0.0013133761240169406, 0.00922577828168869, 0.0023061127867549658, -0.0011089774779975414, -0.0006387106841430068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8682, 0.003548951121047139, 0.001764593762345612, 0.009131345897912979, 0.00454903906211257, 0.0011915485374629498, -0.0009220780921168625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21172986924648285, 0.0, 0.0, 0.0
8702, 0.003072728170081973, 0.0010909881675615907, 0.009114868007600307, 0.0018657039618119597, -0.002259218832477927, -0.0009077745489776134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21167655289173126, 0.0, 0.0, 0.0
8722, 0.00242923223413527, 0.0006595623563043773, 0.008663703687489033, -0.001279143150895834, -0.0043163783848285675, -0.003594376379624009, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21418267488479614, 0.0, 0.0, 0.0
8742, 0.003527709050104022, 0.0017411864828318357, 0.008601217530667782, 0.004936254117637873, 0.0018484286265447736, -0.00349363312125206, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21173682808876038, 0.0, 0.0, 0.0
8762, 0.0023891411256045103, 0.0013000628678128123, 0.00948430597782135, -0.001582500641234219, -0.0003274227783549577, 0.0017048788722604513, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21363221108913422, 0.0, 0.0, 0.0
8782, 0.0025830266531556845, 0.0017237691208720207, 0.009525513276457787, -0.0002941830607596785, 0.0021802850533276796, 0.001664354931563139, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2181442826986313, 0.0, 0.0, 0.0
8802, 0.0030373670160770416, 0.00026543415151536465, 0.008600367233157158, 0.002587580122053623, -0.006296976935118437, -0.0041282884776592255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21394383907318115, 0.0, 0.0, 0.0
8822, 0.0030366259161382914, 0.0009033937240019441, 0.008526294492185116, 0.00277531030587852, -0.0021545125637203455, -0.0044191936030983925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21598881483078003, 0.0, 0.0, 0.0
8842, 0.0030914884991943836, 0.0008561103604733944, 0.008437353186309338, 0.002720401156693697, -0.002047197427600622, -0.004507367964833975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22246761620044708, 0.0, 0.0, 0.0
8862, 0.0030742387752979994, 0.00018317166541237384, 0.008608521893620491, 0.0025319664273411036, -0.005127088166773319, -0.0030233734287321568, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22051338851451874, 0.0, 0.0, 0.0
8882, 0.003278876654803753, 0.001090823207050562, 0.008567151613533497, 0.003975413274019957, -0.0005390075966715813, -0.002666815649718046, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22054298222064972, 0.0, 0.0, 0.0
8902, 0.0035238226410001516, 0.0017396131297573447, 0.008303232491016388, 0.005194791126996279, 0.0036044148728251457, -0.004579567350447178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22920121252536774, 0.0, 0.0, 0.0
8922, 0.0033042035065591335, 0.0019439513562247157, 0.00821173656731844, 0.003907845355570316, 0.004210973624140024, -0.004535441752523184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.21505780518054962, 0.0, 0.0, 0.0
8942, 0.0024729950819164515, 0.00023356963356491178, 0.007267612032592297, -0.0007371226674877107, -0.004570377990603447, -0.008993699215352535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22810250520706177, 0.0, 0.0, 0.0
8962, 0.003341635223478079, 0.00024465483147650957, 0.007115121930837631, 0.004114885348826647, -0.0042150733061134815, -0.008877389132976532, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22812139987945557, 0.0, 0.0, 0.0
8982, 0.0035695673432201147, 0.0008979880949482322, 0.006572965066879988, 0.005644407123327255, -0.0006490027299150825, -0.010929967276751995, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2280644327402115, 0.0, 0.0, 0.0
9002, 0.0031591954175382853, 0.0017529396573081613, 0.0063543422147631645, 0.002743367338553071, 0.004069371614605188, -0.011085511185228825, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22592084109783173, 0.0, 0.0, 0.0
9022, 0.003524544881656766, 0.001321454648859799, 0.0072327605448663235, 0.004589078016579151, 0.0019222951959818602, -0.005572231020778418, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.22878418862819672, 0.0, 0.0, 0.0
9042, 0.0031136691104620695, 0.0007033686270006001, 0.007122563198208809, 0.0022502702195197344, -0.0011518372921273112, -0.00605873204767704, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2301577478647232, 0.0, 0.0, 0.0
9062, 0.003100974950939417, 0.0009082179749384522, 0.007371931802481413, 0.002287566429004073, -0.0002506154705770314, -0.004141762852668762, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23029614984989166, 0.0, 0.0, 0.0
9082, 0.002478203037753701, 0.0004840883775614202, 0.007282957900315523, -0.0012070155935361981, -0.0020660751033574343, -0.0045304750092327595, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23294883966445923, 0.0, 0.0, 0.0
9102, 0.0031236703507602215, 0.00048208393855020404, 0.0071941884234547615, 0.0020855756010860205, -0.0022850381210446358, -0.0047636679373681545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23088273406028748, 0.0, 0.0, 0.0
9122, 0.0031349945347756147, 0.0018049280624836683, 0.007459335494786501, 0.002240692265331745, 0.004947991576045752, -0.002891602460294962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23204568028450012, 0.0, 0.0, 0.0
9142, 0.002457207767292857, 0.000700464763212949, 0.007407858967781067, -0.0017846599221229553, -0.001541587640531361, -0.003199850907549262, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23513981699943542, 0.0, 0.0, 0.0
9162, 0.0024247101973742247, 0.0007017991156317294, 0.008003583177924156, -0.0019901019986718893, -0.0008390821167267859, 0.0004273734812159091, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23509277403354645, 0.0, 0.0, 0.0
9182, 0.0032837444450706244, 0.0011456436477601528, 0.008026107214391232, 0.0030464702285826206, 0.0012304504634812474, 0.00020979806140530854, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23347684741020203, 0.0, 0.0, 0.0
9202, 0.00239636842161417, 0.0007318058051168919, 0.008413073606789112, -0.0022017527371644974, -0.0011913254857063293, 0.0019791238009929657, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2340078204870224, 0.0, 0.0, 0.0
9222, 0.00346022448502481, 0.0018030046485364437, 0.008462165482342243, 0.003972787410020828, 0.004500307608395815, 0.0019931267015635967, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23309609293937683, 0.0, 0.0, 0.0
9242, 0.0025954663287848234, 0.00033075429382734, 0.008306508883833885, -0.0008448133012279868, -0.0036490787751972675, 0.0005961794522590935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23424415290355682, 0.0, 0.0, 0.0
9262, 0.0030142883770167828, 0.0017664176411926746, 0.008328664116561413, 0.0016998016508296132, 0.004109309986233711, 0.0006988323875702918, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.2343173325061798, 0.0, 0.0, 0.0
9282, 0.0030160509049892426, 0.00012329859600868076, 0.008217076770961285, 0.0016840912867337465, -0.005383387207984924, -0.00037786480970680714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23319067060947418, 0.0, 0.0, 0.0
9302, 0.002394994953647256, 0.0005353747401386499, 0.008213951252400875, -0.0018587292870506644, -0.00319611351005733, -0.00021343737898860127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23429957032203674, 0.0, 0.0, 0.0
9322, 0.0034017167054116726, 0.0009318957454524934, 0.008217702619731426, 0.00401524780318141, -0.0005705851945094764, -0.0005557259428314865, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23526838421821594, 0.0, 0.0, 0.0
9342, 0.0031983645167201757, 0.0017431030282750726, 0.008122998289763927, 0.003115812549367547, 0.0036011848133057356, -0.0007801689789630473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23306231200695038, 0.0, 0.0, 0.0
9362, 0.0032154906075447798, 0.001358994748443365, 0.008113003335893154, 0.003104635514318943, 0.0011895721545442939, -0.0005470791948027909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23410816490650177, 0.0, 0.0, 0.0
9382, 0.0032321526668965816, 0.001785164582543075, 0.007633427623659372, 0.003536785254254937, 0.0034918629098683596, -0.00303224241361022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.23485617339611053, 0.0, 0.0, 0.0
