timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, accx, accy, accz, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
20250, 0.014170922338962555, 0.007654287852346897, 0.01380137074738741, 0.0008423495455645025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.214236259460449, 0.1430174559354782, -0.005554985219808095
20270, 0.014420718885958195, 0.007237584795802832, 0.014962820336222649, -0.0012245968682691455, 128251.9375, 156551.75, 92805.6015625, 116514.4140625, 141562.953125, 99905.6953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4904513657093048, 299.0, 0.04240207001566887, -0.00033548727515153587, 0.9972507357597351, 0.0, 0.0, -2.214242935180664, 0.14304058253765106, -0.004068039826549824
20290, 0.01417086273431778, 0.007264920510351658, 0.013911066576838493, -0.0013003810308873653, 128252.90625, 156551.75, 92804.8046875, 116518.078125, 141577.421875, 99904.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.490672767162323, 299.0, 0.042945776134729385, 0.00302843376994133, 0.9979758858680725, 0.0, 0.0, -2.2142114639282227, 0.1430843025445938, -0.004016921948692401
20310, 0.014475981704890728, 0.007241915911436081, 0.015091237612068653, -0.0010894517181441188, 128242.3671875, 156555.59375, 92795.7265625, 116519.5703125, 141569.296875, 99907.734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4886039197444916, 299.0, 0.043609146028757095, 0.0016251010820269585, 1.0014814138412476, 0.0, 0.0, -2.2143068313598633, 0.14305078983306885, -0.004896517062544392
20330, 0.013649932108819485, 0.007650986313819885, 0.01127489935606718, 0.0007662390707992017, 128249.0703125, 156553.671875, 92804.8046875, 116510.75, 141577.921875, 99906.9765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48843833804130554, 299.0, 0.04189418628811836, 0.001967945834621787, 0.9994238615036011, 0.0, 0.0, -2.2142579555511475, 0.14309561252593994, -0.0047749333426885246
20350, 0.014494488015770912, 0.007232113741338253, 0.014710945077240467, -0.0010478358017280698, 128242.3671875, 156555.59375, 92807.9609375, 116515.90625, 141572.859375, 99904.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48654311895370483, 299.0, 0.04262107238173485, 0.0010247731115669012, 0.9967331886291504, 0.0, 0.0, -2.214172601699829, 0.1430290788412094, -0.006231560644569826
20370, 0.013854923658072948, 0.007251262199133635, 0.011616152711212635, -0.0010420490289106965, 128251.3046875, 156553.671875, 92801.6484375, 116510.0703125, 141573.859375, 99904.1796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4899858832359314, 299.0, 0.044056251645088196, 0.006024629808962345, 0.9993067383766174, 0.0, 0.0, -2.2141640186309814, 0.14301256835460663, -0.006824077848937893
20390, 0.0138834984973073, 0.0076288096606731415, 0.011985057033598423, 0.0008996037649922073, 128246.8359375, 156555.59375, 92808.7578125, 116514.4140625, 141574.640625, 99910.3046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48419639468193054, 304.0, 0.04537885636091232, 0.0008548085461370647, 0.9989059567451477, 0.0, 0.0, -2.2142133712768555, 0.1429138332605362, -0.0066465368888035765
20410, 0.013348936103284359, 0.007626689970493317, 0.010058468207716942, 0.001238759490661323, 128250.3359375, 156555.59375, 92798.4921875, 116521.7421875, 141566.03125, 99909.0234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48718270659446716, 304.0, 0.04034935310482979, -8.831499144434929e-06, 1.000477910041809, 0.0, 0.0, -2.214265823364258, 0.14290250837802887, -0.005397193094281837
20430, 0.01355919148772955, 0.007653588429093361, 0.01092455256730318, 0.0014276523143053055, 128242.3671875, 156555.59375, 92802.03125, 116515.90625, 141571.078125, 99905.6953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48683151602745056, 304.0, 0.03897009417414665, -0.0008795097819529474, 1.0005831718444824, 0.0, 0.0, -2.214184045791626, 0.1430356502532959, -0.006431742250743478
20450, 0.014343167655169964, 0.007247269619256258, 0.013910449109971523, -0.0006494754343293607, 128247.46875, 156553.671875, 92802.828125, 116520.25, 141566.515625, 99909.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4899367392063141, 301.0, 0.04257418215274811, 0.0033213819842785597, 0.9997217059135437, 0.0, 0.0, -2.214181661605835, 0.14300568401813507, -0.007117118616184978
20470, 0.013960875570774078, 0.007635466754436493, 0.011908348649740219, 0.0012529372470453382, 128250.671875, 156551.75, 92805.6015625, 116509.3984375, 141576.921875, 99913.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4886973798274994, 301.0, 0.04714260995388031, 0.002315250923857093, 0.993019700050354, 0.0, 0.0, -2.2141220569610596, 0.1430734395980835, -0.008730624606786553
20490, 0.014008741825819016, 0.007265940308570862, 0.011988050304353237, -7.228214963106439e-05, 128248.4296875, 156553.671875, 92810.7265625, 116517.3984375, 141568.296875, 99906.4453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48638394474983215, 301.0, 0.047171954065561295, 0.0049818046391010284, 1.0022588968276978, 0.0, 0.0, -2.2141900062561035, 0.14302286505699158, -0.007024201491188669
20510, 0.013813480734825134, 0.0072507052682340145, 0.010944738052785397, 0.0005646690260618925, 128243.0, 156551.75, 92808.7578125, 116512.2421875, 141577.421875, 99917.1875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4818322956562042, 302.0, 0.04951658099889755, -0.0017740746261551976, 1.001422643661499, 0.0, 0.0, -2.2141060829162598, 0.14305035769939423, -0.006287848057879888
20530, 0.013963726349174976, 0.00724024698138237, 0.011393793858587742, 0.0003826085012406111, 128255.7734375, 156553.671875, 92809.1640625, 116513.0625, 141567.015625, 99902.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48187434673309326, 302.0, 0.04658060148358345, -0.005105559714138508, 1.0063594579696655, 0.0, 0.0, -2.214144706726074, 0.14304888248443604, -0.006377380712392884
20550, 0.014200643636286259, 0.007244929205626249, 0.012198040261864662, 0.00043001212179660797, 128254.171875, 156555.59375, 92806.78125, 116506.4140625, 141577.421875, 99911.0625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4814653992652893, 302.0, 0.043475281447172165, 0.004146978724747896, 1.0046104192733765, 0.0, 0.0, -2.2143356800079346, 0.14311853051185608, -0.002644343130588524
20570, 0.014444585889577866, 0.007267066743224859, 0.01342491339892149, 0.0015121534233912826, 128244.6015625, 156553.671875, 92806.78125, 116504.2421875, 141572.359375, 99910.3046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4825817048549652, 299.0, 0.04196825996041298, 0.007880679331719875, 1.0012989044189453, 0.0, 0.0, -2.214263439178467, 0.1429893970489502, -0.005837216572526921
20590, 0.014056148938834667, 0.007661075331270695, 0.011808267794549465, 0.00398406945168972, 128255.140625, 156557.53125, 92803.625, 116515.2265625, 141571.578125, 99906.9765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4828650951385498, 299.0, 0.03859111666679382, 0.002329297363758087, 0.9923853278160095, 0.0, 0.0, -2.214167356491089, 0.14300939440727234, -0.007378026702758689
20610, 0.0140542546287179, 0.007286034524440765, 0.011406123638153076, 0.0017496442887932062, 128249.0703125, 156555.59375, 92806.78125, 116518.078125, 141571.078125, 99900.3203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.48010286688804626, 300.0, 0.04458729550242424, 0.013312564231455326, 0.9957405924797058, 0.0, 0.0, -2.2142271995544434, 0.14297343790531158, -0.007396684169932429
20630, 0.013861306011676788, 0.007268731482326984, 0.010394389741122723, 0.002060073195025325, 128249.703125, 156555.59375, 92810.7265625, 116509.3984375, 141568.296875, 99907.734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.4789990484714508, 300.0, 0.04429135099053383, 0.0056669507175683975, 0.993370771408081, 0.0, 0.0, -2.2141313552856445, 0.14301446080207825, -0.006330154988169989
20650, 0.013004174456000328, 0.007607798557728529, 0.006725277751684189, 0.0036559845320880413, 128252.90625, 156551.75, 92802.828125, 116515.2265625, 141566.515625, 99902.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.47963565587997437, 300.0, 0.040231578052043915, -0.0011808236595243216, 0.997505247592926, 0.0, 0.0, -2.2143537998199463, 0.14312617480754852, -0.0032697145520250758
20670, 0.014126528054475784, 0.007263661827892065, 0.01170080341398716, 0.002033979631960392, 128246.1953125, 156553.671875, 92810.7265625, 116515.2265625, 141567.015625, 99904.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.479301780462265, 299.0, 0.04261023551225662, -0.00627456558868289, 1.0028245449066162, 0.0, 0.0, -2.2141528129577637, 0.14316175878047943, -0.007813503256590429
