timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, accx, accy, accz, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
13092, 14.983074188232422, 6.6855902671813965, 3.072275161743164, 1.702530026435852, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.339231491088867, 0.014010194689035416, -0.021391872770249117
13112, 15.021058082580566, 6.718605041503906, 3.072908401489258, 1.7070813179016113, 130192.203125, 156467.109375, 91703.0, 117872.15625, 141817.859375, 102529.34375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03439776599407196, 301.0, 0, 0, 0, 0, 0, -2.3392093181610107, 0.013979781419038773, -0.021417102657577534
13132, 15.082578659057617, 6.752801418304443, 3.0791823863983154, 1.7125545740127563, 130195.4453125, 156470.953125, 91699.078125, 117875.8359375, 141817.859375, 102533.46875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03346928209066391, 304.0, 0.05140138044953346, 0.010329112410545349, 0.9956623911857605, 0.0, 0.0, -2.3392207622528076, 0.013988505117595196, -0.021458983512183897
13152, 15.17991828918457, 6.786963939666748, 3.0946760177612305, 1.7187371253967285, 130190.953125, 156472.875, 91699.875, 117886.0546875, 141824.6875, 102534.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03310022130608559, 304.0, 0.05360867828130722, 0.009793172590434551, 0.9973902702331543, 0.0, 0.0, -2.339202404022217, 0.013944779522716999, -0.02151307335583949
13172, 15.2418794631958, 6.821391582489014, 3.1014211177825928, 1.7238926887512207, 130192.203125, 156469.03125, 91707.7265625, 117884.546875, 141813.296875, 102531.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03076721541583538, 304.0, 0.05379938334226608, 0.009161749854683876, 0.9979308247566223, 0.0, 0.0, -2.33919620513916, 0.013967331498861313, -0.02180348872703539
13192, 15.303976058959961, 6.855917930603027, 3.1081743240356445, 1.7288017272949219, 130193.203125, 156470.953125, 91706.9296875, 117883.875, 141814.296875, 102532.8984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.032202959060668945, 300.0, 0.05433058366179466, 0.006342006381601095, 0.9964218139648438, 0.0, 0.0, -2.3391807079315186, 0.014138446189463139, -0.022527927478860076
13212, 15.321895599365234, 6.886176109313965, 3.1041860580444336, 1.7326360940933228, 130191.578125, 156469.03125, 91704.9609375, 117882.3671875, 141821.421875, 102531.40625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0312914177775383, 300.0, 0.05275367945432663, 0.01066175289452076, 0.9979367852210999, 0.0, 0.0, -2.339204788208008, 0.014118769206106663, -0.0229105418071709
13232, 15.38404655456543, 6.9208807945251465, 3.1109225749969482, 1.7378149032592773, 130197.6875, 156470.953125, 91708.890625, 117886.890625, 141818.859375, 102534.7890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03165779262781143, 300.0, 0.054631371051073074, 0.008658907376229763, 0.9956086874008179, 0.0, 0.0, -2.3392059803009033, 0.013979511335492134, -0.02162770636183019
13252, 15.44058895111084, 6.955176830291748, 3.1160640716552734, 1.742957592010498, 130196.0625, 156469.03125, 91708.890625, 117884.7109375, 141822.421875, 102532.71875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.029727766290307045, 304.0, 0.053380656987428665, 0.010180220007896423, 0.9979259371757507, 0.0, 0.0, -2.3392045497894287, 0.013957103714346886, -0.02194591002045366
13272, 15.502974510192871, 6.9900898933410645, 3.1225104331970215, 1.748289704322815, 130197.6875, 156469.03125, 91708.09375, 117889.0625, 141824.6875, 102533.46875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03063775599002838, 304.0, 0.05319217965006828, 0.009566172957420349, 0.9970710873603821, 0.0, 0.0, -2.3392035961151123, 0.013958631083369255, -0.0216349948346791
