timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, accx, accy, accz, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
11459, 0.0040496233850717545, 0.0013359320582821965, 0.012817599810659885, 0.0028066635131835938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.343074083328247, 0.013943822123110294, -0.04769443810773472
11479, 0.004315725062042475, 0.0013958715135231614, 0.013795428909361362, 0.0031497555319219828, 129317.1640625, 156584.484375, 92330.0625, 116521.7421875, 141436.34375, 101936.6796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06774945557117462, 588.0, 0, 0, 0, 0, 0, -2.3430423736572266, 0.013989508152008057, -0.047809159638073154
11499, 0.004266717936843634, 0.0018753455951809883, 0.013405850157141685, 0.004844209644943476, 129325.140625, 156588.34375, 92329.2734375, 116513.0625, 141439.90625, 101935.3671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06697512418031693, 588.0, 0.06630802899599075, 0.00518580200150609, 0.9974436163902283, 0.0, 0.0, -2.343116521835327, 0.013911979272961617, -0.04725179336702162
11519, 0.004235468339174986, 0.0013900293270125985, 0.01319380197674036, 0.002566418843343854, 129322.8984375, 156586.40625, 92330.0625, 116518.078125, 141444.453125, 101940.234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06626322865486145, 588.0, 0.06748014688491821, 0.0073408884927630424, 0.9993168711662292, 0.0, 0.0, -2.3431155681610107, 0.013903060927987099, -0.04699807691042089
11539, 0.003758278675377369, 0.0013868992682546377, 0.010597895830869675, 0.002448750426992774, 129325.765625, 156584.484375, 92337.9453125, 116523.90625, 141431.28125, 101937.421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06832598894834518, 625.0, 0.06466464698314667, 0.006810307968407869, 1.000502586364746, 0.0, 0.0, -2.3431005477905273, 0.013989276252686977, -0.04737831609481063
11559, 0.003980409353971481, 0.0014385530957952142, 0.011679396033287048, 0.0026504695415496826, 129325.140625, 156586.40625, 92336.359375, 116532.59375, 141443.953125, 101945.484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0672854334115982, 625.0, 0.06719450652599335, 0.0059381513856351376, 0.9957470297813416, 0.0, 0.0, -2.3431153297424316, 0.013949488289654255, -0.04714191586387841
11579, 0.004415678326040506, 0.0014357642503455281, 0.013381683267652988, 0.0025417055003345013, 129331.234375, 156586.40625, 92334.796875, 116525.265625, 141438.90625, 101949.0390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06834463775157928, 625.0, 0.0652690902352333, 0.0064347791485488415, 0.998796820640564, 0.0, 0.0, -2.343090534210205, 0.013857131823897362, -0.04726681099163047
11599, 0.004716070834547281, 0.001487824018113315, 0.014467771165072918, 0.0025915363803505898, 129332.84375, 156590.265625, 92340.296875, 116526.7578125, 141448.515625, 101946.9765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07061439007520676, 591.0, 0.06599368900060654, 0.0055246502161026, 0.9968036413192749, 0.0, 0.0, -2.3430256843566895, 0.01396584790199995, -0.04679111919046302
11619, 0.005019457545131445, 0.001542623620480299, 0.01588168926537037, 0.002890490461140871, 129341.8046875, 156590.265625, 92337.9453125, 116531.09375, 141441.671875, 101949.21875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07054329663515091, 591.0, 0.06917691230773926, 0.007522721774876118, 1.0004665851593018, 0.0, 0.0, -2.343087911605835, 0.01396515965461731, -0.04637010334306727
11639, 0.005339530762284994, 0.0016033272258937359, 0.01707298308610916, 0.0033230106346309185, 129340.8203125, 156586.40625, 92339.1171875, 116532.59375, 141451.296875, 101949.0390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06708972901105881, 591.0, 0.06682335585355759, 0.007888768799602985, 0.9969239234924316, 0.0, 0.0, -2.3430824279785156, 0.013808117248117924, -0.04791951899486838
