timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
21100, -0.012699133716523647, 0.0008312625577673316, 0.00695023825392127, 0.002851987024769187, 0.002258308930322528, 0.001486948924139142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.9819952249526978, 0.02468588761985302, 1.3927767276763916, -0.0004772069179432427
21120, -0.012421375140547752, 0.0008374759927392006, 0.007007009349763393, 0.0039313253946602345, 0.002590071875602007, 0.001707244198769331, 128175.2265625, 156417.15625, 89845.96875, 116811.1640625, 141644.4375, 100539.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6179606318473816, 330.0, 0, 0, -0.9820038080215454, 0.024638285860419273, 1.3928765058517456, -0.0009930265281646654
21140, -0.012984641827642918, 0.0008089960319921374, 0.0057834661565721035, 0.00123573187738657, 0.0023538595996797085, -0.004525844939053059, 128169.796875, 156415.234375, 89849.515625, 116818.4921875, 141654.828125, 100545.9921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6154934167861938, 329.0, 0.0, 0.0, -0.9820203185081482, 0.02466827630996704, 1.3928033113479614, -0.0007046668000483757
21160, -0.012375610880553722, 0.0008475907961837947, 0.005655203480273485, 0.004260830115526915, 0.0026340994518250227, -0.004196589812636375, 128174.265625, 156415.234375, 89854.875, 116814.828125, 141658.390625, 100543.9453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6139351725578308, 329.0, 0.0, 0.0, -0.982005774974823, 0.024657759815454483, 1.3927929401397705, -0.0007139404758737587
21180, -0.012272350490093231, 0.0009046357590705156, 0.004877075552940369, 0.004413084127008915, 0.0028325084131211042, -0.007605068385601044, 128176.5, 156415.234375, 89847.9140625, 116817.0, 141650.765625, 100546.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6131278872489929, 329.0, 0.0, 0.0, -0.982047438621521, 0.02470545843243599, 1.39278244972229, 0.000846187544437461
21200, -0.012000665999948978, 0.000566858914680779, 0.004724452272057533, 0.0053171925246715546, 0.0010477621108293533, -0.0076777879148721695, 128176.5, 156417.15625, 89853.734375, 116811.1640625, 141646.21875, 100549.328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6113285422325134, 329.0, 0.0, 0.0, -0.982004702091217, 0.024702604860067368, 1.3927870988845825, -0.00028885458606266396
21220, -0.012312909588217735, 0.0008932985947467387, 0.005554866511374712, 0.0037316400557756424, 0.0027522207237780094, -0.002696735318750143, 128174.265625, 156419.078125, 89849.8515625, 116814.1484375, 141648.5, 100541.1484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.612463116645813, 329.0, 0.0, 0.0, -0.9820165038108826, 0.024692298844456673, 1.3927654027938843, -0.00025212026589247215
21240, -0.012613823637366295, 0.0009188190451823175, 0.00550079345703125, 0.0022590304724872112, 0.002992185764014721, -0.00277765654027462, 128173.625, 156411.40625, 89852.9375, 116805.328125, 141650.265625, 100541.8984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6118147373199463, 329.0, 0.0, 0.0, -0.9820140600204468, 0.024665022268891335, 1.3927992582321167, -0.0007887098872490945
21260, -0.012338182888925076, 0.0008945217705331743, 0.006058268714696169, 0.003998188767582178, 0.0027665842790156603, 0.0002889219031203538, 128178.734375, 156419.078125, 89856.8203125, 116818.4921875, 141645.71875, 100539.1015625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.613709568977356, 327.0, 0.0, 0.0, -0.982039749622345, 0.024740220978856087, 1.3927690982818604, -0.00030171564985580885
21280, -0.011998660862445831, 0.0009036560659296811, 0.006065286695957184, 0.005806779954582453, 0.0031095093581825495, 0.0005049275932833552, 128171.078125, 156419.078125, 89850.65625, 116813.3359375, 141652.546875, 100539.8515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6093975305557251, 327.0, 0.0, 0.0, -0.9820618033409119, 0.024728167802095413, 1.3927059173583984, -0.00029053932210531207
