timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
22485, 0.02479233592748642, 0.008350781165063381, 0.003787592751905322, 0.02119828388094902, 0.007779576815664768, -0.0018529861699789762, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.0242209434509277, 0.025357170030474663, 1.3485076427459717, 0.013670161986414369
22505, 0.024871867150068283, 0.008042534813284874, 0.0037598609924316406, 0.021509181708097458, 0.006229930091649294, -0.0017519855173304677, 127974.265625, 156419.078125, 89491.078125, 116508.9375, 141436.734375, 100401.28125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3865872025489807, 250.0, 0, 0, -1.0241985321044922, 0.025313129648566246, 1.348538875579834, 0.013756246169986658
22525, 0.02400224097073078, 0.007673316169530153, 0.003845736850053072, 0.01734992116689682, 0.004504472017288208, -0.0008828522986732423, 127965.3359375, 156421.0, 89486.3984375, 116504.6015625, 141443.0625, 100397.1953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3872864544391632, 250.0, 0.0, 0.0, -1.0242273807525635, 0.025239605456590652, 1.3485462665557861, 0.01341223074416583
22545, 0.024452079087495804, 0.007628363557159901, 0.003834577975794673, 0.019512996077537537, 0.004369672387838364, -0.0009228774579241872, 127975.859375, 156415.234375, 89490.2734375, 116506.765625, 141444.84375, 100400.53125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.38811320066452026, 247.0, 0.0, 0.0, -1.0242140293121338, 0.02529829367995262, 1.3485089540481567, 0.013793920889337759
22565, 0.02458958514034748, 0.007952502928674221, 0.003890900406986475, 0.020258530974388123, 0.005968444515019655, -0.0004480340867303312, 127972.03125, 156422.921875, 89486.3984375, 116506.765625, 141443.0625, 100397.7265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3868486285209656, 247.0, 0.0, 0.0, -1.0242260694503784, 0.02541905641555786, 1.348603367805481, 0.014715190243220719
22585, 0.024160396307706833, 0.00733538530766964, 0.003901933552697301, 0.017879750579595566, 0.002941497601568699, -8.717835589777678e-05, 127973.625, 156421.0, 89492.2109375, 116503.109375, 141440.296875, 100399.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3872178792953491, 247.0, 0.0, 0.0, -1.0242336988449097, 0.025226686149835587, 1.3485019207000732, 0.013298280964566127
22605, 0.024287981912493706, 0.007934761233627796, 0.0039407541044056416, 0.018609002232551575, 0.005857917480170727, 0.00017504460993222892, 127973.3125, 156421.0, 89492.2109375, 116500.265625, 141440.796875, 100399.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.38881635665893555, 250.0, 0.0, 0.0, -1.0242079496383667, 0.02530229091644287, 1.3485227823257446, 0.013949332025602874
22625, 0.024679401889443398, 0.008055592887103558, 0.003945860546082258, 0.02054857648909092, 0.006220689509063959, 0.00036069643101654947, 127975.21875, 156419.078125, 89496.421875, 116497.4140625, 141439.015625, 100401.28125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.38906601071357727, 250.0, 0.0, 0.0, -1.0241996049880981, 0.025270188227295876, 1.3485097885131836, 0.014017852944427084
22645, 0.02450750023126602, 0.00800817459821701, 0.00397009402513504, 0.01982422173023224, 0.005969071760773659, 0.0006627922412008047, 127974.265625, 156419.078125, 89497.2265625, 116496.609375, 141444.34375, 100398.484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.3883819878101349, 250.0, 0.0, 0.0, -1.0241870880126953, 0.0252328272908926, 1.348459243774414, 0.013913871173780979
22665, 0.024931887164711952, 0.008138378150761127, 0.004826001822948456, 0.021825063973665237, 0.0065887002274394035, 0.0050455015152692795, 127975.5390625, 156421.0, 89490.2734375, 116502.4296875, 141441.296875, 100399.2421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.39149588346481323, 250.0, 0.0, 0.0, -1.024204134941101, 0.02543085440993309, 1.348567008972168, 0.014211706046589152
