timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, gpislabel, yaw, laserFront, KFwhisker1, KFwhisker2
13817, 0.0026947101578116417, 3.580188058549538e-05, 0.0012421729043126106, 0.003148140851408243, -0.0006252140738070011, -0.0026283133774995804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13837, 0.0026757624000310898, 2.8097441827412695e-05, 0.00110179977491498, 0.002964842366054654, -0.00048375711776316166, -0.0030889345798641443, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0025911584962159395, 256.0, 0.0, 0.0
13857, 0.0027401119004935026, 1.8432861907058395e-05, 0.0010435774456709623, 0.003475814126431942, -0.0005318248877301812, -0.002798015484586358, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.000913443451281637, 256.0, 0.0, 0.0
13877, 0.0030715998727828264, -0.0002923054271377623, 0.0009789967443794012, 0.004977972712367773, -0.002104746177792549, -0.0030507626943290234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00022917200112715364, 256.0, 0.0, 0.0
13897, 0.002441195771098137, -0.0002784412354230881, 0.0009175267769023776, 0.0018848958425223827, -0.0017630801303312182, -0.0032311759423464537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000833539292216301, 256.0, 0.0, 0.0
13917, 0.0026944088749587536, -2.0227864752087044e-06, 0.0013185386778786778, 0.0034280926920473576, -0.00037473271368071437, -0.00034541371860541403, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0031256102956831455, 256.0, 0.0, 0.0
13937, 0.002769940532743931, -9.963647244148888e-06, 0.00131197867449373, 0.004091294016689062, -0.0003743516863323748, -0.000288803072180599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002094398718327284, 256.0, 0.0, 0.0
13957, 0.0028612958267331123, -1.5346964573836885e-05, 0.001189638627693057, 0.004864842630922794, -0.0001765197521308437, -0.0007180825341492891, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003397299675270915, 256.0, 0.0, 0.0
13977, 0.0029585808515548706, -1.8980914319399744e-05, 0.0011701781768351793, 0.0047937422059476376, -0.0002357617049710825, -0.0011610831134021282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002340765902772546, 256.0, 0.0, 0.0
13997, 0.0030581122264266014, -2.37044532696018e-05, 0.001147700590081513, 0.005300196819007397, -0.0002453518391121179, -0.0010990031296387315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0008182938327081501, 256.0, 0.0, 0.0
14017, 0.002916514640673995, -2.5722760256030597e-05, 0.0014864194672554731, 0.004434438422322273, -0.0001406635419698432, 0.0008035426144488156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.002319056075066328, 254.0, 0.0, 0.0
14037, 0.003006802638992667, -2.692354792088736e-05, 0.0015003387816250324, 0.004530165810137987, 0.0001827692030929029, 0.0006825070013292134, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.002164064208045602, 254.0, 0.0, 0.0
14057, 0.0029127630405128, -2.500966911611613e-05, 0.0013022086350247264, 0.004015406593680382, 0.00033122493186965585, -0.0007130646263249218, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002983218291774392, 254.0, 0.0, 0.0
14077, 0.002996884984895587, -1.0015438419941347e-05, 0.0012909306678920984, 0.004618475679308176, 0.0009720306843519211, -0.0005018046358600259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0027053526137024164, 255.0, 0.0, 0.0
14097, 0.0034085174556821585, -1.515283656772226e-06, 0.00116758793592453, 0.0067731644958257675, 0.00176087929867208, -0.0009967880323529243, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009723828174173832, 255.0, 0.0, 0.0
14117, 0.0035415946040302515, 3.4838034480344504e-05, 0.001151189673691988, 0.007008160464465618, 0.001861638855189085, -0.0006616532918997109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00976797565817833, 255.0, 0.0, 0.0
14137, 0.0033709583804011345, -0.0004189570900052786, 0.0014784150989726186, 0.006115104537457228, -0.0004559998051263392, 0.0010376570280641317, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010588870383799076, 252.0, 0.0, 0.0
14157, 0.0029262732714414597, -0.0004355860874056816, 0.0015028961934149265, 0.00402896199375391, -0.0003033711400348693, 0.0010249611223116517, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009119544178247452, 252.0, 0.0, 0.0
14177, 0.0036381357349455357, -3.653546082205139e-05, 0.0017160737188532948, 0.007045384496450424, 0.0016508664702996612, 0.0020045307464897633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008387461304664612, 252.0, 0.0, 0.0
14197, 0.0031342445872724056, -7.100163929862902e-05, 0.0017665631603449583, 0.005135380197316408, 0.0012662902008742094, 0.0018240214558318257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009350713342428207, 256.0, 0.0, 0.0
14217, 0.0027303220704197884, 0.0002507845056243241, 0.0018822060665115714, 0.003705487586557865, 0.0026086976286023855, 0.002008734503760934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008867400698363781, 256.0, 0.0, 0.0
14237, 0.002734888345003128, -8.387745037907735e-05, 0.0019236528314650059, 0.0038640350103378296, 0.0012117571895942092, 0.0017013096949085593, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009830892086029053, 257.0, 0.0, 0.0
14257, 0.0027675477322191, 0.0002598161809146404, 0.0015967781655490398, 0.003644876414909959, 0.0029345634393393993, -0.0001886625832412392, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009119446389377117, 257.0, 0.0, 0.0
