timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, gpislabel, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
9319, 0.014882051385939121, 0.03508537635207176, -0.012125948444008827, 0.00658446503803134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.5127679109573364, 0.17668429017066956, -0.04190880914773822
9339, 0.016183914616703987, 0.03571973368525505, -0.003669415134936571, 0.008746941573917866, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07125157862901688, 238.0, 0.0, 0.0, 0.0, -0.5127272009849548, 0.17666752636432648, -0.04180906636922762
9359, 0.015214676037430763, 0.03603435307741165, -0.007532260846346617, 0.008951440453529358, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07154752314090729, 238.0, 0.0, 0.0, 0.0, -0.5128721594810486, 0.17698222398757935, -0.03952459603335679
9379, 0.016127455979585648, 0.03601931035518646, -0.0011382626835256815, 0.007453018333762884, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07132240384817123, 238.0, 0.0, 0.0, 0.0, -0.5128829479217529, 0.17712648212909698, -0.038071358684445694
9399, 0.015918368473649025, 0.03600887209177017, -0.0009140866459347308, 0.006071402225643396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07031182199716568, 238.0, 0.0, 0.0, 0.0, -0.5127508640289307, 0.1766902208328247, -0.04142525665660116
9419, 0.014159196987748146, 0.03600955009460449, -0.009277354925870895, 0.004866230767220259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0723738893866539, 238.0, 0.0, 0.0, 0.0, -0.5127018690109253, 0.17668725550174713, -0.04325219113421004
9439, 0.017565101385116577, 0.036961160600185394, 0.011071167886257172, 0.009556523524224758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07451216131448746, 237.0, 0.0, 0.0, 0.0, -0.5129017233848572, 0.1770123690366745, -0.03962309539139864
9459, 0.015481539070606232, 0.033265121281147, -0.0005474805366247892, -0.011234454810619354, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07827629894018173, 237.0, 0.0, 0.0, 0.0, -0.5128373503684998, 0.17704567313194275, -0.038423009028548435
9479, 0.017930995672941208, 0.034371744841337204, 0.013036905787885189, -0.004736318252980709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07323062419891357, 237.0, 0.0, 0.0, 0.0, -0.5127654671669006, 0.17683714628219604, -0.04050611727429669
9499, 0.01614367589354515, 0.03372758626937866, 0.0033195766154676676, -0.008181581273674965, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07962707430124283, 236.0, 0.0, 0.0, 0.0, -0.5129013061523438, 0.17700400948524475, -0.039280340703241066
9519, 0.016186324879527092, 0.03318538889288902, 0.003504109103232622, -0.010815911926329136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08468460291624069, 236.0, 0.0, 0.0, 0.0, -0.5127392411231995, 0.17679671943187714, -0.04002148959921804
9539, 0.01594996638596058, 0.033412687480449677, 0.0025170398876070976, -0.00901203416287899, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08570593595504761, 239.0, 0.0, 0.0, 0.0, -0.5128817558288574, 0.17716358602046967, -0.03732824846996378
9559, 0.01731300726532936, 0.034148260951042175, 0.009832474403083324, -0.00509588373824954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08644484728574753, 239.0, 0.0, 0.0, 0.0, -0.5128411650657654, 0.17713643610477448, -0.037353480676218805
9579, 0.0172872357070446, 0.033713724464178085, 0.009321515448391438, -0.0071302237920463085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08676723390817642, 239.0, 0.0, 0.0, 0.0, -0.5127589106559753, 0.17696967720985413, -0.038333669640587056
