timeTick, stateX, stateY, stateVX, stateVY, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, accx, accy, accz, KFwhisker1, KFwhisker2, Position X, Position Y, yaw
7076, 0.0016700581181794405, 0.0015541173052042723, 0.0076922220177948475, 0.008592735044658184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3874362707138062, 0.30491164326667786, -0.050438374343019676
7096, 0.000930747133679688, 0.0008229500381276011, 0.0036799288354814053, 0.004638114012777805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11104698479175568, 268.0, 0.030644498765468597, -0.002754530869424343, 0.9996314644813538, 0.0, 0.0, -1.387395977973938, 0.30491313338279724, -0.05128426543199242
7116, 0.0016309205675497651, 0.0008154892711900175, 0.007400782313197851, 0.004813964944332838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11028674244880676, 268.0, 0.03172671049833298, -0.001957585569471121, 1.0013670921325684, 0.0, 0.0, -1.387392282485962, 0.3049207329750061, -0.05094755538139356
7136, 0.0007314283866435289, 0.00037735962541773915, 0.0025109867565333843, 0.0025258741807192564, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11130788177251816, 268.0, 0.03181224316358566, -0.003600205760449171, 0.9995203614234924, 0.0, 0.0, -1.3874232769012451, 0.3049011826515198, -0.05100860451715665
7156, 0.0012140439357608557, 0.0008479046518914402, 0.004823658615350723, 0.004945774562656879, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11461534351110458, 267.0, 0.03162029758095741, -0.0025346640031784773, 1.0006660223007202, 0.0, 0.0, -1.3873858451843262, 0.30492985248565674, -0.05110686834405105
7176, 0.0007667320314794779, 0.0011420749360695481, 0.0023846037220209837, 0.006308330222964287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11525004357099533, 267.0, 0.032480016350746155, -0.0051373448222875595, 0.9990110397338867, 0.0, 0.0, -1.387397289276123, 0.3049182891845703, -0.05083530517743501
7196, 0.0007832180126570165, 0.00042809967999346554, 0.0025065757799893618, 0.0022144760005176067, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11606191843748093, 267.0, 0.030437666922807693, -0.004240567330271006, 0.9979648590087891, 0.0, 0.0, -1.3874074220657349, 0.3049105703830719, -0.05062351023472988
7216, 0.0007830619579181075, 0.00043479661690071225, 0.002612671349197626, 0.0022255354560911655, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11835664510726929, 269.0, 0.03095049038529396, -0.0021676563192158937, 0.9992814660072327, 0.0, 0.0, -1.3873792886734009, 0.3048664331436157, -0.051441747047493415
7236, 0.0008371186559088528, 0.00048538774717599154, 0.0027525550685822964, 0.002805419033393264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11837457865476608, 269.0, 0.0306557547301054, -0.00351030589081347, 1.001289963722229, 0.0, 0.0, -1.3873591423034668, 0.3048887252807617, -0.05215585337576022
7256, 0.0005443434347398579, 0.0004808114899788052, 0.0011292195413261652, 0.002735350513830781, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11827176064252853, 269.0, 0.03159105405211449, -0.002320315223187208, 1.000048279762268, 0.0, 0.0, -1.3873026371002197, 0.3050217032432556, -0.052538918063311055
