timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, stateouterloop, yaw, laserFront, Position X, Position Y, Position Z, yaw
13735, 0.0015141519252210855, -0.0003122882917523384, 0.0064446632750332355, 0.003954226151108742, 4.893773439107463e-05, 0.0033146266359835863, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1.3404319286346436, 0.018250707536935806, -0.5472493767738342, -0.0034802712148696794
13755, 0.0019071761053055525, 6.0400816437322646e-05, 0.00631936127319932, 0.005589290522038937, 0.0022609836887568235, 0.00200640712864697, 130732.5625, 156319.328125, 91971.484375, 119473.4375, 141728.265625, 102634.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09634362906217575, 189.0, -1.3404593467712402, 0.01823379658162594, -0.5472754836082458, -0.0023851218477783116
13775, 0.0015298300422728062, -0.0003154702135361731, 0.006360397208482027, 0.003786505898460746, 0.00036107655614614487, 0.001889676321297884, 130728.0703125, 156321.25, 91974.25, 119474.1015625, 141717.390625, 102638.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09546710550785065, 189.0, -1.3405219316482544, 0.018148498609662056, -0.5472365021705627, -0.0019933517396422263
13795, 0.001610629609785974, -0.0003092427796218544, 0.006397040095180273, 0.004346014466136694, 0.0003217637713532895, 0.0017629810608923435, 130733.5625, 156319.328125, 91974.6171875, 119467.546875, 141730.046875, 102643.7734375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09730161726474762, 189.0, -1.3404972553253174, 0.018036190420389175, -0.5471791625022888, -0.002460842257177427
13815, 0.0011405559489503503, -0.0003330945910420269, 0.007139541674405336, 0.002335826400667429, 0.0005199146107770503, 0.0050651319324970245, 130731.9375, 156315.5, 91971.484375, 119471.9140625, 141727.765625, 102640.3984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0969083160161972, 189.0, -1.340476393699646, 0.018082186579704285, -0.5471829175949097, -0.0033223279543867423
13835, 0.001193224685266614, -0.0003223115927539766, 0.007241059094667435, 0.0028350800275802612, 0.0006240978837013245, 0.005083851981908083, 130737.046875, 156321.25, 91967.5546875, 119475.6171875, 141728.265625, 102638.3359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09664390981197357, 187.0, -1.3404461145401, 0.018260251730680466, -0.5472841858863831, -0.0028361888688181744
13855, 0.0015257061459124088, -0.0003388820041436702, 0.007239193189889193, 0.004098639357835054, 0.0009281301172450185, 0.0042418064549565315, 130742.53125, 156321.25, 91969.5234375, 119475.6171875, 141723.21875, 102638.8984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09652075916528702, 187.0, -1.3403910398483276, 0.018138432875275612, -0.5471504330635071, -0.003206894247814145
13875, 0.0014914788771420717, 1.1172403901582584e-05, 0.007324681617319584, 0.0037112687714397907, 0.0024325812701135874, 0.004242719151079655, 130734.1796875, 156323.15625, 91973.453125, 119472.578125, 141728.265625, 102637.5859375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09436024725437164, 187.0, -1.3403587341308594, 0.018193064257502556, -0.5472437143325806, -0.004234422500885162
13895, 0.0018673298181965947, 2.5086790628847666e-05, 0.006443681661039591, 0.005231009796261787, 0.002374251140281558, -0.00044588191667571664, 130736.421875, 156319.328125, 91972.6484375, 119473.4375, 141724.21875, 102642.4609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09640572220087051, 189.0, -1.3405095338821411, 0.01800033450126648, -0.5470818281173706, -0.0015966800963872168
13915, 0.001818556454963982, -9.610117558622733e-06, 0.006437384057790041, 0.004984930623322725, 0.002364569343626499, -0.0004491026047617197, 130733.1796875, 156319.328125, 91979.7109375, 119475.6171875, 141734.09375, 102641.7109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.09447696059942245, 189.0, -1.3404322862625122, 0.01788325607776642, -0.5471417903900146, -0.004938602565482589
