timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
19801, 0.0004908036789856851, 0.004729610867798328, 0.016311809420585632, 0.0035313009284436703, 0.006052120588719845, 0.0004918298800475895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19821, 0.0005650765961036086, 0.004855926614254713, 0.016323944553732872, 0.003900399897247553, 0.0066208909265697, 0.0007596606737934053, 128845.21875, 156474.796875, 91035.3828125, 117825.7578125, 141726.734375, 100994.328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07040157169103622, 241.0, 0.0, 0.0, 0, 0, 0, 0
19841, 0.0004958586650900543, 0.004739503841847181, 0.015782218426465988, 0.00341788656078279, 0.0059239426627755165, -0.002055351622402668, 128846.484375, 156474.796875, 91036.5390625, 117823.5859375, 141729.5, 100997.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07033577561378479, 242.0, 0.0, 0.0, 0, 0, 0, 0
19861, 0.00044128854642622173, 0.004654284566640854, 0.01574603281915188, 0.0030416171066462994, 0.005495970603078604, -0.001836305484175682, 128850.3203125, 156474.796875, 91030.3203125, 117821.40625, 141731.28125, 100996.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07175279408693314, 242.0, 0.0, 0.0, 0, 0, 0, 0
19881, 0.0005008708103559911, 0.0047651417553424835, 0.015817007049918175, 0.0031964611262083054, 0.005686911754310131, -0.0014606415061280131, 128842.640625, 156474.796875, 91033.4296875, 117819.8984375, 141725.734375, 100994.328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07063128799200058, 242.0, 0.0, 0.0, 0, 0, 0, 0
19901, 0.0005654179840348661, 0.004881758708506823, 0.015787163749337196, 0.0032017105259001255, 0.005945716518908739, -0.001500812009908259, 128844.2421875, 156474.796875, 91035.3828125, 117820.5703125, 141728.515625, 100997.671875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07269983738660812, 240.0, 0.0, 0.0, 0, 0, 0, 0
19921, 9.192151628667489e-05, 0.00485939672216773, 0.017025833949446678, 0.0013192191254347563, 0.00575232831761241, 0.0050129033625125885, 128852.5625, 156480.5625, 91037.3359375, 117825.0859375, 141727.21875, 100996.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07099666446447372, 240.0, 0.0, 0.0, 0, 0, 0, 0
19941, 0.00012515739945229143, 0.0049833753146231174, 0.017129071056842804, 0.001824627979658544, 0.006034331861883402, 0.0048790983855724335, 128846.484375, 156474.796875, 91031.1171875, 117819.8984375, 141722.171875, 100997.1328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06948477029800415, 243.0, 0.0, 0.0, 0, 0, 0, 0
19961, 0.0010695605305954814, 0.004981848411262035, 0.016348164528608322, 0.0058090644888579845, 0.006207459606230259, 0.0003441298322286457, 128848.0859375, 156476.71875, 91035.3828125, 117822.078125, 141731.28125, 100992.484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06988967955112457, 243.0, 0.0, 0.0, 0, 0, 0, 0
19981, 0.0009487092029303312, 0.0048576053231954575, 0.01635880023241043, 0.004991712048649788, 0.005756001453846693, 0.0005680120666511357, 128845.21875, 156476.71875, 91037.3359375, 117828.609375, 141729.5, 100998.4296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0701700821518898, 243.0, 0.0, 0.0, 0, 0, 0, 0
