Timestamp,app.GpisLabel,app.KFMlpOutput1,app.KFMlpOutput2,app.MlpOutput1,app.MlpOutput2,range.front
30833,0,0.0,0.0,0.0,0.0,221
30853,0,0.0,0.0,0.0,0.0,222
30873,0,0.0,0.0,0.0,0.0,222
30892,0,0.0,0.0,0.0,0.0,222
30912,0,0.0,0.0,0.0,0.0,221
30932,0,0.0,0.0,0.0,0.0,221
30952,0,0.0,0.0,0.0,0.0,221
30972,0,0.0,0.0,0.0,0.0,220
30992,0,0.0,0.0,0.0,0.0,220
31012,0,0.0,0.0,0.0,0.0,220
31032,0,0.0,0.0,0.0,0.0,221
31052,0,0.0,0.0,0.0,0.0,221
31072,0,0.0,0.0,0.0,0.0,221
31092,0,0.0,0.0,0.0,0.0,222
31112,0,0.0,0.0,0.0,0.0,222
31132,0,0.0,0.0,0.0,0.0,222
31152,0,0.0,0.0,0.0,0.0,222
31172,0,0.0,0.0,0.0,0.0,222
31192,0,0.0,0.0,0.0,0.0,222
31212,0,0.0,0.0,0.0,0.0,223
31232,0,0.0,0.0,0.0,0.0,223
31252,0,0.0,0.0,0.0,0.0,223
31272,0,0.0,0.0,0.0,0.0,221
31292,0,0.0,0.0,0.0,0.0,221
31313,0,0.0,0.0,0.0,0.0,222
31333,0,0.0,0.0,0.0,0.0,222
31353,0,0.0,0.0,0.0,0.0,222
31372,0,0.0,0.0,0.0,0.0,221
31393,0,0.0,0.0,0.0,0.0,221
31412,0,0.0,0.0,0.0,0.0,221
31432,0,0.0,0.0,0.0,0.0,222
31452,0,0.0,0.0,0.0,0.0,222
31472,0,0.0,0.0,0.0,0.0,222
31492,0,0.0,0.0,0.0,0.0,222
31512,0,0.0,0.0,0.0,0.0,222
31532,0,0.0,0.0,0.0,0.0,222
31552,0,0.0,0.0,0.0,0.0,221
31572,0,0.0,0.0,0.0,0.0,221
31592,0,0.0,0.0,0.0,0.0,221
31612,0,0.0,0.0,0.0,0.0,221
31632,0,0.0,0.0,0.0,0.0,221
31652,0,0.0,0.0,0.0,0.0,221
31672,0,0.0,0.0,0.0,0.0,222
31692,0,0.0,0.0,0.0,0.0,222
31712,0,0.0,0.0,0.0,0.0,223
31732,0,0.0,0.0,0.0,0.0,223
31752,0,0.0,0.0,0.0,0.0,223
31772,0,0.0,0.0,0.0,0.0,222
31793,0,0.0,0.0,0.0,0.0,222
31812,0,0.0,0.0,0.0,0.0,222
31833,0,0.0,0.0,0.0,0.0,222
31853,0,0.0,0.0,0.0,0.0,222
31873,0,0.0,0.0,0.0,0.0,222
31893,0,0.0,0.0,0.0,0.0,225
31913,0,0.0,0.0,0.0,0.0,225
31932,0,0.0,0.0,0.0,0.0,225
31952,0,0.0,0.0,0.0,0.0,225
31972,0,0.0,0.0,0.0,0.0,225
31992,0,0.0,0.0,0.0,0.0,225
32012,0,0.0,0.0,0.0,0.0,224
32032,0,0.0,0.0,0.0,0.0,224
32052,0,0.0,0.0,0.0,0.0,224
32072,0,0.0,0.0,0.0,0.0,220
32092,0,0.0,0.0,0.0,0.0,220
32112,0,0.0,0.0,0.0,0.0,223
32132,0,0.0,0.0,0.0,0.0,223
32152,0,0.0,0.0,0.0,0.0,223
32172,0,0.0,0.0,0.0,0.0,222
32192,0,0.0,0.0,0.0,0.0,222
32212,0,0.0,0.0,0.0,0.0,222
32232,0,0.0,0.0,0.0,0.0,225
32253,0,0.0,0.0,0.0,0.0,225
32272,0,0.0,0.0,0.0,0.0,225
32292,0,0.0,0.0,0.0,0.0,225
32312,0,0.0,0.0,0.0,0.0,225
32332,0,0.0,0.0,0.0,0.0,225
32353,0,0.0,0.0,0.0,0.0,222
32372,0,0.0,0.0,0.0,0.0,222
32392,0,0.0,0.0,0.0,0.0,222
32412,0,0.0,0.0,0.0,0.0,221
32432,0,0.0,0.0,0.0,0.0,221
32452,0,0.0,0.0,0.0,0.0,221
32472,0,0.0,0.0,0.0,0.0,221
32492,0,0.0,0.0,0.0,0.0,221
32512,0,0.0,0.0,0.0,0.0,221
32532,0,0.0,0.0,0.0,0.0,221
32552,0,0.0,0.0,0.0,0.0,221
32572,0,0.0,0.0,0.0,0.0,225
32592,0,0.0,0.0,0.0,0.0,225
32612,0,0.0,0.0,0.0,0.0,225
32632,0,0.0,0.0,0.0,0.0,220
32652,0,0.0,0.0,0.0,0.0,220
32672,0,0.0,0.0,0.0,0.0,220
32692,0,0.0,0.0,0.0,0.0,222
32712,0,0.0,0.0,0.0,0.0,222
32732,0,0.0,0.0,0.0,0.0,222
32752,0,0.0,0.0,0.0,0.0,223
32772,0,0.0,0.0,0.0,0.0,223
32792,0,0.0,0.0,0.0,0.0,223
32813,0,0.0,0.0,0.0,0.0,220
32833,0,0.0,0.0,0.0,0.0,220
32853,0,0.0,0.0,0.0,0.0,224
32873,0,0.0,0.0,0.0,0.0,224
32892,0,0.0,0.0,0.0,0.0,224
32912,0,0.0,0.0,0.0,0.0,222
32932,0,0.0,0.0,0.0,0.0,222
32952,0,0.0,0.0,0.0,0.0,222
32972,0,0.0,0.0,0.0,0.0,224
32992,0,0.0,0.0,0.0,0.0,224
33012,0,0.0,0.0,0.0,0.0,224
33033,0,0.0,0.0,0.0,0.0,221
33052,0,0.0,0.0,0.0,0.0,221
33072,0,0.0,0.0,0.0,0.0,221
33092,0,0.0,0.0,0.0,0.0,222
33112,0,0.0,0.0,0.0,0.0,222
33133,0,0.0,0.0,0.0,0.0,222
33152,0,0.0,0.0,0.0,0.0,221
33172,0,0.0,0.0,0.0,0.0,221
33192,0,0.0,0.0,0.0,0.0,221
33212,0,0.0,0.0,0.0,0.0,222
33232,0,0.0,0.0,0.0,0.0,222
33252,0,0.0,0.0,0.0,0.0,224
33272,0,0.0,0.0,0.0,0.0,224
33292,0,0.0,0.0,0.0,0.0,224
33313,0,0.0,0.0,0.0,0.0,223
33333,0,0.0,0.0,0.0,0.0,223
33353,0,0.0,0.0,0.0,0.0,223
33372,0,0.0,0.0,0.0,0.0,221
33392,0,0.0,0.0,0.0,0.0,221
33412,0,0.0,0.0,0.0,0.0,221
