Timestamp,app.GpisLabel,app.KFMlpOutput1,app.KFMlpOutput2,app.MlpOutput1,app.MlpOutput2,stateEstimate.x,stateEstimate.y
35813,0,0.0,0.0,0.0,0.0,0.0032194992527365685,-0.0003873173554893583
35833,0,0.0,0.0,0.0,0.0,0.004042416345328093,-0.0007977476343512535
35853,0,0.0,0.0,0.0,0.0,0.0034220132511109114,2.3718557713436894e-05
35873,0,0.0,0.0,0.0,0.0,0.003824027022346854,-0.0009966185316443443
35893,0,0.0,0.0,0.0,0.0,0.00382436765357852,-0.0005870785098522902
35913,0,0.0,0.0,0.0,0.0,0.0036165472120046616,-0.0003841355792246759
35933,0,0.0,0.0,0.0,0.0,0.0036134920082986355,-0.0011850936571136117
35953,0,0.0,0.0,0.0,0.0,0.003667115932330489,-0.0005865654093213379
35973,0,0.0,0.0,0.0,0.0,0.0038869932759553194,-0.00037617425550706685
35993,0,0.0,0.0,0.0,0.0,0.004092738032341003,-0.0016236957162618637
36013,0,0.0,0.0,0.0,0.0,0.004104119725525379,-0.0005761454813182354
36033,0,0.0,0.0,0.0,0.0,0.0036761986557394266,0.00026203985908068717
36053,0,0.0,0.0,0.0,0.0,0.004094477277249098,-0.0007824362255632877
36073,0,0.0,0.0,0.0,0.0,0.004165465943515301,-0.0005697169690392911
36093,0,0.0,0.0,0.0,0.0,0.003715365892276168,-0.0010039136977866292
36113,0,0.0,0.0,0.0,0.0,0.0039362856186926365,-0.0010011172853410244
36133,0,0.0,0.0,0.0,0.0,0.004139704164117575,0.00029396117315627635
36153,0,0.0,0.0,0.0,0.0,0.004138595424592495,0.00028489591204561293
36173,0,0.0,0.0,0.0,0.0,0.003916148096323013,-0.00035465971450321376
36193,0,0.0,0.0,0.0,0.0,0.003929733298718929,7.280270801857114e-05
36213,0,0.0,0.0,0.0,0.0,0.003915490582585335,-0.0016197916120290756
36233,0,0.0,0.0,0.0,0.0,0.004348339047282934,-0.0014090710319578648
36253,0,0.0,0.0,0.0,0.0,0.004137760028243065,7.495051249861717e-05
36273,0,0.0,0.0,0.0,0.0,0.003861000994220376,-0.0003694368351716548
36293,0,0.0,0.0,0.0,0.0,0.0036571507807821035,0.00022637446818407625
