timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
24342, 0.016851119697093964, -0.007010163739323616, 0.005588474217802286, 0.0060049621388316154, 0.00268782046623528, 0.003033605171367526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2.316640615463257, -0.006640675012022257, -2.809417486190796, -0.0040920990932816655
24362, 0.016492346301674843, -0.007375885266810656, 0.004996903240680695, 0.004299597814679146, 0.0010140114463865757, -0.0005598697462119162, 128336.125, 156486.328125, 90695.328125, 117192.109375, 141471.109375, 100723.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04820726066827774, 213.0, 0.0, 0.0, -2.316990852355957, -0.005911138840019703, -2.809027671813965, -0.002636451143013972
24382, 0.016799412667751312, -0.007040363736450672, 0.004987749736756086, 0.005772428587079048, 0.0026401688810437918, -0.00040446760249324143, 128337.7265625, 156488.25, 90700.0234375, 117188.4375, 141476.15625, 100728.203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04969543218612671, 213.0, 0.0, 0.0, -2.3167850971221924, -0.006395380012691021, -2.8092312812805176, -0.0008033039076023366
24403, 0.016922615468502045, -0.006986679043620825, 0.0049814158119261265, 0.006498144473880529, 0.0027600526809692383, -0.00019732301007024944, 128335.4921875, 156488.25, 90698.875, 117189.2578125, 141476.15625, 100723.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.050802864134311676, 214.0, 0.0, 0.0, -2.3168528079986572, -0.006347301881760359, -2.809221029281616, -0.0007509088559281955
24423, 0.01640947535634041, -0.007068846374750137, 0.004987621679902077, 0.004404142033308744, 0.002578348619863391, -0.00027456003590486944, 128336.125, 156484.40625, 90700.0234375, 117197.2734375, 141480.21875, 100728.953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05048425495624542, 214.0, 0.0, 0.0, -2.316462516784668, -0.0072442833334207535, -2.8096401691436768, -0.0011975758412672167
24443, 0.01604541204869747, -0.007399840746074915, 0.004981522914022207, 0.002548772841691971, 0.000852766796015203, -0.0003995017323177308, 128336.125, 156490.171875, 90700.3828125, 117194.28125, 141476.15625, 100723.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.049692146480083466, 214.0, 0.0, 0.0, -2.317248582839966, -0.0053712837398052216, -2.808650016784668, -0.005127114797794017
24462, 0.0163895096629858, -0.007369792088866234, 0.0036866655573248863, 0.004151071421802044, 0.0012360245455056429, -0.007324542850255966, 128343.7890625, 156488.25, 90696.921875, 117189.9296875, 141479.71875, 100725.609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0496273972094059, 215.0, 0.0, 0.0, -2.316981554031372, -0.005911401007324457, -2.808969736099243, -0.002251203530532261
24483, 0.01609930768609047, -0.007368001621216536, 0.003540812525898218, 0.0026518346276134253, 0.0014982057036831975, -0.007231732364743948, 128341.5546875, 156490.171875, 90696.921875, 117193.6015625, 141480.21875, 100727.6640625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05063538998365402, 215.0, 0.0, 0.0, -2.3167364597320557, -0.00643329368904233, -2.809208393096924, 0.0002759161956982039
24502, 0.01637953519821167, -0.007368175312876701, 0.004048746079206467, 0.003929679282009602, 0.0016338166315108538, -0.0040215300396084785, 128335.4921875, 156488.25, 90705.078125, 117191.4296875, 141473.890625, 100723.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05385779216885567, 215.0, 0.0, 0.0, -2.3169026374816895, -0.00591628160327673, -2.8089778423309326, 0.0007398382957857724
24522, 0.016406642273068428, -0.007058345712721348, 0.0039689079858362675, 0.0039052623324096203, 0.002977765863761306, -0.0039440845139324665, 128341.5546875, 156488.25, 90703.9296875, 117191.4296875, 141472.890625, 100722.265625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05501608923077583, 213.0, 0.0, 0.0, -2.3170218467712402, -0.00570627162232995, -2.8089852333068848, -0.0029570195380636405
24542, 0.016428908333182335, -0.007346250582486391, 0.003921211697161198, 0.0037874006666243076, 0.0019696508534252644, -0.0036382542457431555, 128337.7265625, 156488.25, 90700.0234375, 117198.625, 141476.15625, 100719.46875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05541065335273743, 213.0, 0.0, 0.0, -2.3168601989746094, -0.006066024769097567, -2.809159517288208, 0.0003425255134539229
