Timestamp,app.GpisLabel,app.KFMlpOutput1,app.KFMlpOutput2,app.MlpOutput1,app.MlpOutput2,range.front
15562,0,0.0,0.0,0.0,0.0,215
15582,0,0.0,0.0,0.0,0.0,218
15602,0,0.0,0.0,0.0,0.0,218
15622,0,0.0,0.0,0.0,0.0,218
15642,0,0.0,0.0,0.0,0.0,216
15663,0,0.0,0.0,0.0,0.0,216
15682,0,0.0,0.0,0.0,0.0,217
15702,0,0.0,0.0,0.0,0.0,217
15722,0,0.0,0.0,0.0,0.0,217
15742,0,0.0,0.0,0.0,0.0,217
15762,0,0.0,0.0,0.0,0.0,217
15782,0,0.0,0.0,0.0,0.0,217
15802,0,0.0,0.0,0.0,0.0,215
15822,0,0.0,0.0,0.0,0.0,215
15842,0,0.0,0.0,0.0,0.0,215
15862,0,0.0,0.0,0.0,0.0,217
15882,0,0.0,0.0,0.0,0.0,217
15902,0,0.0,0.0,0.0,0.0,217
15922,0,0.0,0.0,0.0,0.0,216
15942,0,0.0,0.0,0.0,0.0,216
15962,0,0.0,0.0,0.0,0.0,216
15982,0,0.0,0.0,0.0,0.0,217
16002,0,0.0,0.0,0.0,0.0,217
16023,0,0.0,0.0,0.0,0.0,216
16043,0,0.0,0.0,0.0,0.0,216
16062,0,0.0,0.0,0.0,0.0,216
16082,0,0.0,0.0,0.0,0.0,217
16103,0,0.0,0.0,0.0,0.0,217
16123,0,0.0,0.0,0.0,0.0,217
16143,0,0.0,0.0,0.0,0.0,217
16163,0,0.0,0.0,0.0,0.0,217
16182,0,0.0,0.0,0.0,0.0,217
16203,0,0.0,0.0,0.0,0.0,215
16222,0,0.0,0.0,0.0,0.0,215
16242,0,0.0,0.0,0.0,0.0,215
16262,0,0.0,0.0,0.0,0.0,216
16282,0,0.0,0.0,0.0,0.0,216
16302,0,0.0,0.0,0.0,0.0,216
16322,0,0.0,0.0,0.0,0.0,215
16343,0,0.0,0.0,0.0,0.0,215
16362,0,0.0,0.0,0.0,0.0,215
16383,0,0.0,0.0,0.0,0.0,216
16403,0,0.0,0.0,0.0,0.0,216
16423,0,0.0,0.0,0.0,0.0,216
16443,0,0.0,0.0,0.0,0.0,216
16462,0,0.0,0.0,0.0,0.0,216
16482,0,0.0,0.0,0.0,0.0,218
16502,0,0.0,0.0,0.0,0.0,218
16522,0,0.0,0.0,0.0,0.0,218
16542,0,0.0,0.0,0.0,0.0,218
16562,0,0.0,0.0,0.0,0.0,218
16582,0,0.0,0.0,0.0,0.0,218
16602,0,0.0,0.0,0.0,0.0,215
16622,0,0.0,0.0,0.0,0.0,215
16642,0,0.0,0.0,0.0,0.0,215
16662,0,0.0,0.0,0.0,0.0,216
16682,0,0.0,0.0,0.0,0.0,216
16702,0,0.0,0.0,0.0,0.0,216
16722,0,0.0,0.0,0.0,0.0,216
16742,0,0.0,0.0,0.0,0.0,216
16762,0,0.0,0.0,0.0,0.0,217
16782,0,0.0,0.0,0.0,0.0,217
16803,0,0.0,0.0,0.0,0.0,217
16822,0,0.0,0.0,0.0,0.0,214
16842,0,0.0,0.0,0.0,0.0,214
16862,0,0.0,0.0,0.0,0.0,214
16882,0,0.0,0.0,0.0,0.0,215
16903,0,0.0,0.0,0.0,0.0,215
16923,0,0.0,0.0,0.0,0.0,215
16942,0,0.0,0.0,0.0,0.0,218
16962,0,0.0,0.0,0.0,0.0,218
16982,0,0.0,0.0,0.0,0.0,218
17002,0,0.0,0.0,0.0,0.0,217
17022,0,0.0,0.0,0.0,0.0,217
17042,0,0.0,0.0,0.0,0.0,214
17062,0,0.0,0.0,0.0,0.0,214
17082,0,0.0,0.0,0.0,0.0,214
17102,0,0.0,0.0,0.0,0.0,216
17122,0,0.0,0.0,0.0,0.0,216
17142,0,0.0,0.0,0.0,0.0,216
17162,0,0.0,0.0,0.0,0.0,216
17182,0,0.0,0.0,0.0,0.0,216
17202,0,0.0,0.0,0.0,0.0,216
17222,0,0.0,0.0,0.0,0.0,216
17242,0,0.0,0.0,0.0,0.0,216
17262,0,0.0,0.0,0.0,0.0,216
17282,0,0.0,0.0,0.0,0.0,214
17303,0,0.0,0.0,0.0,0.0,214
17322,0,0.0,0.0,0.0,0.0,214
17342,0,0.0,0.0,0.0,0.0,213
17363,0,0.0,0.0,0.0,0.0,213
17382,0,0.0,0.0,0.0,0.0,211
17402,0,0.0,0.0,0.0,0.0,211
17422,0,0.0,0.0,0.0,0.0,211
17442,0,0.0,0.0,0.0,0.0,208
17462,0,0.0,0.0,0.0,0.0,208
17482,0,0.0,0.0,0.0,0.0,208
17502,0,0.0,0.0,0.0,0.0,203
17522,0,0.0,0.0,0.0,0.0,203
17542,0,0.0,0.0,0.0,0.0,203
17562,0,0.0,0.0,0.0,0.0,203
17582,0,0.0,0.0,0.0,0.0,203
17602,0,0.0,0.0,0.0,0.0,203
17622,0,0.0,0.0,0.0,0.0,201
17642,0,0.0,0.0,0.0,0.0,201
17662,0,0.0,0.0,0.0,0.0,201
17682,0,0.0,0.0,0.0,0.0,200
17702,0,0.0,0.0,0.0,0.0,200
17722,0,0.0,0.0,0.0,0.0,200
17742,0,0.0,0.0,0.0,0.0,198
17762,0,0.0,0.0,0.0,0.0,198
17782,0,0.0,0.0,0.0,0.0,196
17802,0,0.0,0.0,0.0,0.0,196
17823,0,0.0,0.0,0.0,0.0,196
17842,0,0.0,0.0,0.0,0.0,197
17863,0,0.0,0.0,0.0,0.0,197
17882,0,0.0,0.0,0.0,0.0,197
17902,0,0.0,0.0,0.0,0.0,195
17922,0,0.0,0.0,0.0,0.0,195
17942,0,0.0,0.0,0.0,0.0,195
17962,0,0.0,0.0,0.0,0.0,197
17982,0,0.0,0.0,0.0,0.0,197
18002,0,0.0,0.0,0.0,0.0,197
18022,0,0.0,0.0,0.0,0.0,195
18042,0,0.0,0.0,0.0,0.0,195
18062,0,0.0,0.0,0.0,0.0,195
18082,0,0.0,0.0,0.0,0.0,195
18102,0,0.0,0.0,0.0,0.0,195
18122,0,0.0,0.0,0.0,0.0,196
18142,0,0.0,0.0,0.0,0.0,196
18162,0,0.0,0.0,0.0,0.0,196
18182,0,0.0,0.0,0.0,0.0,198
18202,0,0.0,0.0,0.0,0.0,198
18222,0,0.0,0.0,0.0,0.0,198
18242,0,0.0,0.0,0.0,0.0,195
18262,0,0.0,0.0,0.0,0.0,195
18282,0,0.0,0.0,0.0,0.0,195
18302,0,0.0,0.0,0.0,0.0,195
18322,0,0.0,0.0,0.0,0.0,195
18342,0,0.0,0.0,0.0,0.0,195
18362,0,0.0,0.0,0.0,0.0,196
18382,0,0.0,0.0,0.0,0.0,196
18402,0,0.0,0.0,0.0,0.0,196
18422,0,0.0,0.0,0.0,0.0,196
18442,0,0.0,0.0,0.0,0.0,196
18462,0,0.0,0.0,0.0,0.0,196
18482,0,0.0,0.0,0.0,0.0,196
18502,0,0.0,0.0,0.0,0.0,196
18522,0,0.0,0.0,0.0,0.0,195
18542,0,0.0,0.0,0.0,0.0,195
18562,0,0.0,0.0,0.0,0.0,195
18582,0,0.0,0.0,0.0,0.0,196
18602,0,0.0,0.0,0.0,0.0,196
18622,0,0.0,0.0,0.0,0.0,196
18642,0,0.0,0.0,0.0,0.0,195
18662,0,0.0,0.0,0.0,0.0,195
18682,0,0.0,0.0,0.0,0.0,195
18702,0,0.0,0.0,0.0,0.0,196
18722,0,0.0,0.0,0.0,0.0,196
18742,0,0.0,0.0,0.0,0.0,196
18762,0,0.0,0.0,0.0,0.0,196
18782,0,0.0,0.0,0.0,0.0,196
18802,0,0.0,0.0,0.0,0.0,196
18822,0,0.0,0.0,0.0,0.0,196
18843,0,0.0,0.0,0.0,0.0,196
18863,0,0.0,0.0,0.0,0.0,195
18882,0,0.0,0.0,0.0,0.0,195
18903,0,0.0,0.0,0.0,0.0,195
18923,0,0.0,0.0,0.0,0.0,195
18943,0,0.0,0.0,0.0,0.0,195
18962,0,0.0,0.0,0.0,0.0,195
18982,0,0.0,0.0,0.0,0.0,197
19002,0,0.0,0.0,0.0,0.0,197
19022,0,0.0,0.0,0.0,0.0,197
19042,0,0.0,0.0,0.0,0.0,195
19062,0,0.0,0.0,0.0,0.0,195
19082,0,0.0,0.0,0.0,0.0,195
19102,0,0.0,0.0,0.0,0.0,198
19122,0,0.0,0.0,0.0,0.0,198
19142,0,0.0,0.0,0.0,0.0,196
19162,0,0.0,0.0,0.0,0.0,196
19182,0,0.0,0.0,0.0,0.0,196
19202,0,0.0,0.0,0.0,0.0,196
19222,0,0.0,0.0,0.0,0.0,196
19242,0,0.0,0.0,0.0,0.0,196
19262,0,0.0,0.0,0.0,0.0,196
19282,0,0.0,0.0,0.0,0.0,196
19302,0,0.0,0.0,0.0,0.0,196
19322,0,0.0,0.0,0.0,0.0,195
19342,0,0.0,0.0,0.0,0.0,195
19362,0,0.0,0.0,0.0,0.0,195
19382,0,0.0,0.0,0.0,0.0,195
19402,0,0.0,0.0,0.0,0.0,195
19422,0,0.0,0.0,0.0,0.0,196
19442,0,0.0,0.0,0.0,0.0,196
19462,0,0.0,0.0,0.0,0.0,196
19482,0,0.0,0.0,0.0,0.0,196
19502,0,0.0,0.0,0.0,0.0,196
19522,0,0.0,0.0,0.0,0.0,196
19542,0,0.0,0.0,0.0,0.0,195
19562,0,0.0,0.0,0.0,0.0,195
19582,0,0.0,0.0,0.0,0.0,195
19602,0,0.0,0.0,0.0,0.0,196
19622,0,0.0,0.0,0.0,0.0,196
19642,0,0.0,0.0,0.0,0.0,196
19662,0,0.0,0.0,0.0,0.0,196
19682,0,0.0,0.0,0.0,0.0,196
19702,0,0.0,0.0,0.0,0.0,196
19722,0,0.0,0.0,0.0,0.0,195
19742,0,0.0,0.0,0.0,0.0,195
19762,0,0.0,0.0,0.0,0.0,195
19782,0,0.0,0.0,0.0,0.0,195
19802,0,0.0,0.0,0.0,0.0,195
19822,0,0.0,0.0,0.0,0.0,196
19842,0,0.0,0.0,0.0,0.0,196
19862,0,0.0,0.0,0.0,0.0,196
19882,0,0.0,0.0,0.0,0.0,195
19902,0,0.0,0.0,0.0,0.0,195
19922,0,0.0,0.0,0.0,0.0,195
19943,0,0.0,0.0,0.0,0.0,196
19963,0,0.0,0.0,0.0,0.0,196
19983,0,0.0,0.0,0.0,0.0,196
20003,0,0.0,0.0,0.0,0.0,197
20023,0,0.0,0.0,0.0,0.0,197
20043,0,0.0,0.0,0.0,0.0,197
20063,0,0.0,0.0,0.0,0.0,196
20082,0,0.0,0.0,0.0,0.0,196
20102,0,0.0,0.0,0.0,0.0,196
20122,0,0.0,0.0,0.0,0.0,196
20142,0,0.0,0.0,0.0,0.0,196
20162,0,0.0,0.0,0.0,0.0,196
20182,0,0.0,0.0,0.0,0.0,195
20202,0,0.0,0.0,0.0,0.0,195
20222,0,0.0,0.0,0.0,0.0,196
20242,0,0.0,0.0,0.0,0.0,196
20262,0,0.0,0.0,0.0,0.0,196
20282,0,0.0,0.0,0.0,0.0,195
20302,0,0.0,0.0,0.0,0.0,195
20322,0,0.0,0.0,0.0,0.0,195
20342,0,0.0,0.0,0.0,0.0,197
20363,0,0.0,0.0,0.0,0.0,197
20383,0,0.0,0.0,0.0,0.0,197
20403,0,0.0,0.0,0.0,0.0,196
20423,0,0.0,0.0,0.0,0.0,196
20443,0,0.0,0.0,0.0,0.0,196
20463,0,0.0,0.0,0.0,0.0,197
20484,0,0.0,0.0,0.0,0.0,197
20502,0,0.0,0.0,0.0,0.0,196
20522,0,0.0,0.0,0.0,0.0,196
20542,0,0.0,0.0,0.0,0.0,196
20562,0,0.0,0.0,0.0,0.0,195
20582,0,0.0,0.0,0.0,0.0,195
20602,0,0.0,0.0,0.0,0.0,195
20622,0,0.0,0.0,0.0,0.0,194
20642,0,0.0,0.0,0.0,0.0,194
20662,0,0.0,0.0,0.0,0.0,194
