timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, prewhisker1_1, prewhisker1_2, prewhisker1_3, prewhisker2_1, prewhisker2_2, prewhisker2_3, MLPwhisker1, MLPwhisker2, stateouterloop, yaw, laserFront, KFwhisker1, KFwhisker2, Position X, Position Y, Position Z, yaw
104766, 1.4741510152816772, -1.5034794807434082, 0.00016929679259192199, 0.0021677478216588497, 0.003803691128268838, 0.0020519790705293417, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
104786, 1.4741580486297607, -1.5029460191726685, 0.00013763047172687948, 0.0022332705557346344, 0.005512141156941652, 0.0020398003980517387, 127383.40625, 156721.453125, 93413.84375, 114824.6953125, 140831.703125, 99963.4140625, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.3864545822143555, 212.0, 0.0, 0.0, 0, 0, 0, 0
104806, 1.4741052389144897, -1.5035452842712402, 0.0001840569166233763, 0.0016885988879948854, 0.0031043312046676874, 0.002388837281614542, 127378.625, 156723.375, 93415.8203125, 114823.90625, 140834.984375, 99957.2890625, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.377620220184326, 212.0, 0.0, 0.0, 0, 0, 0, 0
104826, 1.4741449356079102, -1.503483533859253, 0.0001410369877703488, 0.0020807308610528708, 0.0031194579787552357, 0.0020865744445472956, 127380.21875, 156723.375, 93415.8203125, 114823.21875, 140825.875, 99960.0859375, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.3696842193603516, 211.0, 0.0, 0.0, 0, 0, 0, 0
104846, 1.4747111797332764, -1.5035170316696167, 0.00018340435053687543, 0.004606926813721657, 0.002904695924371481, 0.002075330587103963, 127377.984375, 156727.25, 93417.015625, 114821.75, 140833.984375, 99958.0390625, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.3618109226226807, 211.0, 0.0, 0.0, 0, 0, 0, 0
104866, 1.4741098880767822, -1.503517508506775, 0.0001402227790094912, 0.002150657121092081, 0.0024715771432965994, 0.001658193301409483, 127371.28125, 156725.3125, 93411.859375, 114821.75, 140836.25, 99954.7109375, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.35326886177063, 211.0, 0.0, 0.0, 0, 0, 0, 0
104886, 1.474108099937439, -1.5030016899108887, 0.00017807143740355968, 0.0020285083446651697, 0.004525515250861645, 0.002135397167876363, 127374.15625, 156727.25, 93420.1875, 114821.75, 140840.8125, 99965.4609375, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.345383882522583, 210.0, 0.0, 0.0, 0, 0, 0, 0
104906, 1.474520206451416, -1.5036218166351318, 0.00022564191021956503, 0.0034199608489871025, 0.0022635660134255886, 0.002420217264443636, 127380.21875, 156725.3125, 93417.015625, 114821.75, 140829.921875, 99964.171875, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.334784507751465, 210.0, 0.0, 0.0, 0, 0, 0, 0
104926, 1.4740347862243652, -1.5035924911499023, 0.00018710168660618365, 0.0017210632795467973, 0.0026231727097183466, 0.002449222607538104, 127371.28125, 156727.25, 93416.625, 114823.90625, 140825.359375, 99962.125, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.3364675045013428, 210.0, 0.0, 0.0, 0, 0, 0, 0
104946, 1.4744545221328735, -1.5036083459854126, 0.00023755550500936806, 0.003582576522603631, 0.002803155919536948, 0.0026997216045856476, 127377.03125, 156727.25, 93415.8203125, 114823.90625, 140836.25, 99955.2421875, -21.800132751464844, -3.1827640533447266, -23.35374641418457, -20.831562042236328, -2.5091352462768555, 1.93251371383667, 0.0, 0.0, 2.0, -3.3265035152435303, 211.0, 0.0, 0.0, 0, 0, 0, 0
